"Active.Players..33.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Zimmermann
										
										Jordan Zimmermann",32,"SP","Vet","$24,000,000","-","-","$24,000,000","$24,000,000",18.33,"22,000,000"
"Martinez
										
										Victor Martinez",39,"DH","Vet","$18,000,000","-","-","$18,000,000","$18,000,000",13.74,"17,000,000"
"Castellanos
										
										Nick Castellanos",26,"RF","Arb 2","$6,050,000","-","-","$6,050,000","$6,050,000",4.62,"6,050,000"
"Liriano
										
										Francisco Liriano",34,"SP","Vet","$4,000,000","-","-","$4,000,000","$4,000,000",3.05,"4,000,000"
"McCann
										
										James McCann",28,"C","Arb 1","$2,375,000","-","-","$2,375,000","$2,375,000",1.81,"2,375,000"
"Greene
										
										Shane Greene",29,"RP/CL","Arb 1","$1,950,000","-","-","$1,950,000","$1,950,000",1.49,"1,950,000"
"Wilson
										
										Alex Wilson",31,"RP","Arb 2","$1,925,000","-","-","$1,925,000","$1,925,000",1.47,"1,925,000"
"Hardy
										
										Blaine Hardy",31,"RP","Pre-Arb","$795,000","-","-","$795,000","$795,000",0.61,"795,000"
"Boyd
										
										Matt Boyd",27,"SP","Pre-Arb","$562,000","-","-","$562,000","$562,000",0.43,"562,000"
"Norris
										
										Daniel Norris",25,"SP","Pre-Arb","$561,400","-","-","$561,400","$561,400",0.43,"561,400"
"Farmer
										
										Buck Farmer",27,"RP","Pre-Arb","$554,800","-","-","$554,800","$554,800",0.42,"554,800"
"Jones
										
										Jacoby Jones",26,"CF","Pre-Arb","$549,400","-","-","$549,400","$549,400",0.42,"549,400"
"Candelario
										
										Jeimer Candelario",24,"3B","Pre-Arb","$548,300","-","-","$548,300","$548,300",0.42,"548,300"
"Jimenez
										
										Joe Jimenez",23,"RP","Pre-Arb","$547,200","-","-","$547,200","$547,200",0.42,"547,200"
"Goodrum
										
										Niko Goodrum",26,"2B","Pre-Arb","$545,000","-","-","$545,000","$545,000",0.42,"545,000"
"Reyes
										
										Victor Reyes",23,"LF","Pre-Arb","$545,000","-","-","$545,000","$545,000",0.42,"545,000"
"Stumpf
										
										Daniel Stumpf",27,"RP","Pre-Arb","$552,000","-","-","$552,000","$519,400",0.4,"552,000"
"VerHagen
										
										Drew VerHagen",27,"RP","Pre-Arb","$551,400","-","-","$551,400","$429,925",0.33,"551,400"
"Coleman
										
										Louis Coleman",32,"RP","Arb 4","$545,000","-","-","$545,000","$416,060",0.32,"545,000"
"Rodriguez
										
										Ronny Rodriguez",26,"3B","Pre-Arb","$545,000","-","-","$545,000","$313,510",0.24,"545,000"
"Greiner
										
										Grayson Greiner",25,"C","Pre-Arb","$545,000","-","-","$545,000","$295,930",0.23,"545,000"
"Mahtook
										
										Mikie Mahtook",28,"LF","Pre-Arb","$560,400","-","-","$560,400","$292,261",0.22,"560,400"
"Adduci
										
										Jim Adduci",33,"CF","Pre-Arb","$545,000","-","-","$545,000","$263,700",0.2,"545,000"
"Alcantara
										
										Victor Alcantara",25,"RP","Pre-Arb","$545,000","-","-","$545,000","$231,470",0.18,"545,000"
"Reininger
										
										Zac Reininger",25,"RP","Pre-Arb","$545,000","-","-","$545,000","$146,500",0.11,"545,000"
"Kozma
										
										Pete Kozma",30,"SS","Arb 1","$545,000","-","-","$545,000","$120,130",0.09,"545,000"
"Lugo
										
										Dawel Lugo",23,"SS","Pre-Arb","$545,000","-","-","$545,000","$99,620",0.08,"545,000"
"Baez
										
										Sandy Baez",24,"SP","Pre-Arb","$545,000","-","-","$545,000","$93,760",0.07,"545,000"
"Hall
										
										Matt Hall",24,"RP","Pre-Arb","$545,000","-","-","$545,000","$87,900",0.07,"545,000"
"Saltalamacchia
										
										Jarrod Saltalamacchia",33,"C","Vet","$650,000","-","-","$650,000","$76,890",0.06,"650,000"
"Stewart
										
										Christin Stewart",24,"OF","Pre-Arb","$545,000","-","-","$545,000","$64,460",0.05,"545,000"
"Turnbull
										
										Spencer Turnbull",25,"SP","Pre-Arb","$545,000","-","-","$545,000","$58,600",0.04,"545,000"
"Castro
										
										Harold Castro",24,"3B","Pre-Arb","$545,000","-","-","$545,000","$29,300",0.02,"545,000"
