"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Cabrera
										
										Miguel Cabrera",36,"1B","Vet",NA,"$30,000,000","-","$30,000,000","$30,000,000",25.57,"29,200,000"
"Castellanos
										
										Nick Castellanos",27,"RF","Arb 3",3,"$9,950,000","-","$9,950,000","$9,950,000",8.48,"9,950,000"
"Ross
										
										Tyson Ross",32,"SP","Vet",NA,"$5,750,000","-","$6,000,000","$6,000,000",5.11,"5,750,000"
"Mercer
										
										Jordy Mercer",32,"SS","Vet",NA,"$5,250,000","-","$5,250,000","$5,250,000",4.47,"5,250,000"
"Greene
										
										Shane Greene",30,"RP/CL","Arb 2",1,"$4,000,000","-","$4,000,000","$4,000,000",3.41,"4,000,000"
"Boyd
										
										Matt Boyd",28,"SP","Arb 1",NA,"$2,600,000","-","$2,600,000","$2,600,000",2.22,"2,600,000"
"Norris
										
										Daniel Norris",26,"RP","Arb 1",1,"$1,275,000","-","$1,275,000","$1,275,000",1.09,"1,275,000"
"Beckham
										
										Gordon Beckham",32,"2B","Vet",NA,"$700,000","-","$700,000","$700,000",0.6,"700,000"
"Goodrum
										
										Niko Goodrum",27,"2B","Pre-Arb",3,"$670,500","-","$670,500","$670,500",0.57,"670,500"
"Farmer
										
										Buck Farmer",28,"RP","Pre-Arb",NA,"$570,800","-","$570,800","$570,800",0.49,"570,800"
"Jimenez
										
										Joe Jimenez",24,"RP","Pre-Arb",2,"$569,200","-","$569,200","$569,200",0.49,"569,200"
"Hicks
										
										John Hicks",29,"C","Pre-Arb",NA,"$567,100","-","$567,100","$567,100",0.48,"567,100"
"Jones
										
										Jacoby Jones",27,"CF","Pre-Arb",2,"$567,100","-","$567,100","$567,100",0.48,"567,100"
"Stumpf
										
										Daniel Stumpf",28,"RP","Pre-Arb",2,"$566,600","-","$566,600","$566,600",0.48,"566,600"
"Alcantara
										
										Victor Alcantara",26,"RP","Pre-Arb",1,"$559,100","-","$559,100","$559,100",0.48,"559,100"
"Greiner
										
										Grayson Greiner",26,"C","Pre-Arb",2,"$558,600","-","$558,600","$558,600",0.48,"558,600"
"Turnbull
										
										Spencer Turnbull",26,"SP","Pre-Arb",2,"$556,100","-","$556,100","$556,100",0.47,"556,100"
"Candelario
										
										Jeimer Candelario",25,"3B","Pre-Arb",1,"$555,000","-","$555,000","$555,000",0.47,"555,000"
"Garrett
										
										Reed Garrett",26,"RP","Pre-Arb",3,"$555,000","-","$555,000","$555,000",0.47,"555,000"
"Rodriguez
										
										Ronny Rodriguez",27,"2B","Pre-Arb",3,"$555,000","-","$555,000","$504,296",0.43,"504,296"
"Dixon
										
										Brandon Dixon",27,"1B","Pre-Arb",3,"$555,000","-","$555,000","$492,360",0.42,"492,360"
"Fernandez
										
										Jose Fernandez",26,"RP","Pre-Arb",3,"$555,000","-","$555,000","$477,440",0.41,"477,440"
"Reininger
										
										Zac Reininger",26,"RP","Pre-Arb",2,"$555,000","-","$555,000","$471,472",0.4,"471,472"
"Castro
										
										Harold Castro",25,"3B","Pre-Arb",3,"$555,000","-","$555,000","$456,552",0.39,"456,552"
"Jimenez
										
										Eduardo Jimenez",24,"RP","Pre-Arb",2,"$555,000","-","$555,000","$441,632",0.38,"441,632"
