"Active.Players..33.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Bedard
										
										Erik Bedard",34,"SP","Vet","$1,150,000","-","-","$1,150,000","$1,150,000",3.23,0
"Altuve
										
										Jose Altuve",23,"2B","Pre-Arb","$505,700","-","-","$505,700","$505,700",1.42,0
"Harrell
										
										Lucas Harrell",28,"RP","Pre-Arb","$500,700","-","-","$500,700","$500,700",1.41,0
"Martinez
										
										J.D. Martinez",25,"DH","Pre-Arb","$497,800","-","-","$497,800","$497,800",1.4,0
"Castro
										
										Jason Castro",26,"C","Pre-Arb","$496,600","-","-","$496,600","$496,600",1.4,0
"Corporan
										
										Carlos Corporan",29,"C","Pre-Arb","$495,000","-","-","$495,000","$495,000",1.39,0
"Wallace
										
										Brett Wallace",26,"3B","Pre-Arb","$495,000","-","-","$495,000","$495,000",1.39,0
"Gonzalez
										
										Marwin Gonzalez",24,"LF","Pre-Arb","$494,400","-","-","$494,400","$494,400",1.39,0
"Carter
										
										Chris Carter",26,"1B","Pre-Arb","$494,000","-","-","$494,000","$494,000",1.39,0
"Ambriz
										
										Hector Ambriz",29,"RP","Pre-Arb","$493,400","-","-","$493,400","$493,400",1.39,0
"Dominguez
										
										Matt Dominguez",23,"3B","Pre-Arb","$491,800","-","-","$491,800","$491,800",1.38,0
"Barnes
										
										Brandon Barnes",27,"CF","Pre-Arb","$491,700","-","-","$491,700","$491,700",1.38,0
"Fields
										
										Josh Fields",27,"RP","Pre-Arb","$490,000","-","-","$490,000","$490,000",1.38,0
"Thames
										
										Eric Thames",26,"1B","Pre-Arb","$490,000","-","-","$490,000","$490,000",1.38,0
"Keuchel
										
										Dallas Keuchel",25,"SP","Pre-Arb","$490,000","-","-","$490,000","$444,480",1.25,0
"Lyles
										
										Jordan Lyles",22,"SP","Pre-Arb","$490,000","-","-","$490,000","$404,316",1.14,0
"Clemens
										
										Paul Clemens",25,"SP","Pre-Arb","$490,000","-","-","$490,000","$385,573",1.08,0
"Elmore
										
										Jake Elmore",26,"LF","Pre-Arb","$490,000","-","-","$490,000","$270,437",0.76,0
"Peacock
										
										Brad Peacock",25,"SP","Pre-Arb","$490,000","-","-","$490,000","$270,437",0.76,0
"Grossman
										
										Robbie Grossman",23,"LF","Pre-Arb","$490,000","-","-","$490,000","$265,081",0.75,0
"Krauss
										
										Marc Krauss",25,"LF","Pre-Arb","$490,000","-","-","$490,000","$227,595",0.64,0
"Oberholtzer
										
										Brett Oberholtzer",24,"RP","Pre-Arb","$490,000","-","-","$490,000","$219,562",0.62,0
"Paredes
										
										Jimmy Paredes",24,"RF","Pre-Arb","$490,000","-","-","$490,000","$216,885",0.61,0
"Cosart
										
										Jarred Cosart",23,"RP","Pre-Arb","$490,000","-","-","$490,000","$187,431",0.53,0
"Villar
										
										Jonathan Villar",22,"SS","Pre-Arb","$490,000","-","-","$490,000","$187,431",0.53,0
"Zeid
										
										Josh Zeid",26,"RP","Pre-Arb","$490,000","-","-","$490,000","$168,688",0.47,0
"Hoes
										
										L.J. Hoes",23,"CF","Pre-Arb","$490,000","-","-","$490,000","$166,010",0.47,0
"Cruz
										
										Rhiner Cruz",26,"RP","Pre-Arb","$498,000","-","-","$498,000","$146,950",0.41,0
"Chapman
										
										Kevin Chapman",25,"RP","Pre-Arb","$490,000","-","-","$490,000","$139,234",0.39,0
"Stassi
										
										Max Stassi",22,"C","Pre-Arb","$490,000","-","-","$490,000","$109,781",0.31,0
"Martinez
										
										Fernando Martinez",24,"RF","Pre-Arb","$493,000","-","-","$493,000","$99,677",0.28,0
"De Leon
										
										Jorge De Leon",0,"RP","Pre-Arb","$490,000","-","-","$490,000","$99,071",0.28,0
"Martinez
										
										David Martinez",25,"RP","Pre-Arb","$490,000","-","-","$490,000","$80,327",0.23,0
