"Active.Players..26.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Verlander
										
										Justin Verlander",36,"SP","Vet",NA,"$28,000,000","-","$28,000,000","$20,000,000",12.41,"17,714,286"
"Brantley
										
										Michael Brantley",32,"LF","Vet",NA,"$15,000,000","$1,000,000","$16,000,000","$16,000,000",9.92,"16,000,000"
"Cole
										
										Gerrit Cole",28,"SP","Arb 3",3,"$13,500,000","-","$13,500,000","$13,500,000",8.37,"13,500,000"
"Reddick
										
										Josh Reddick",32,"RF","Vet",NA,"$13,000,000","-","$13,000,000","$13,000,000",8.06,"13,000,000"
"Springer
										
										George Springer",29,"CF","Arb 3",3,"$12,000,000","-","$12,000,000","$12,000,000",7.44,"12,000,000"
"Gurriel
										
										Yulieski Gurriel",35,"1B","Pre-Arb",2,"$10,000,000","$400,000","$10,400,000","$10,400,000",6.45,"9,500,000"
"Altuve
										
										Jose Altuve",29,"2B","Vet",NA,"$6,500,000","$3,000,000","$9,500,000","$9,500,000",5.89,"23,357,143"
"Osuna
										
										Roberto Osuna",24,"RP/CL","Arb 2",3,"$6,500,000","-","$6,500,000","$6,500,000",4.03,"6,500,000"
"McHugh
										
										Collin McHugh",32,"SP","Arb 3",1,"$5,800,000","-","$5,800,000","$5,800,000",3.6,"5,800,000"
"Chirinos
										
										Robinson Chirinos",35,"C","Vet",NA,"$5,750,000","-","$5,750,000","$5,750,000",3.57,"5,750,000"
"Correa
										
										Carlos Correa",24,"SS","Arb 1",3,"$5,000,000","-","$5,000,000","$5,000,000",3.1,"5,000,000"
"Miley
										
										Wade Miley",32,"SP","Vet",NA,"$4,500,000","-","$4,500,000","$4,500,000",2.79,"4,500,000"
"Rondon
										
										Hector Rondon",31,"RP","Vet",NA,"$4,500,000","-","$4,500,000","$4,500,000",2.79,"4,250,000"
"Harris
										
										Will Harris",34,"RP","Arb 3",1,"$4,225,000","-","$4,225,000","$4,225,000",2.62,"4,225,000"
"Peacock
										
										Brad Peacock",31,"SP","Arb 3",NA,"$3,110,000","-","$3,110,000","$3,110,000",1.93,"3,110,000"
"Pressly
										
										Ryan Pressly",30,"RP","Arb 3",NA,"$2,900,000","-","$2,900,000","$2,900,000",1.8,"8,750,000"
"Bregman
										
										Alex Bregman",25,"3B","Pre-Arb",3,"$640,500","$1,666,667","$2,307,166","$2,307,166",1.43,"20,000,000"
"Marisnick
										
										Jake Marisnick",28,"CF","Arb 3",1,"$2,212,500","-","$2,212,500","$2,212,500",1.37,"2,212,500"
"Diaz
										
										Aledmys Diaz",28,"SS","Pre-Arb",1,"$2,000,000","-","$2,000,000","$2,000,000",1.24,"2,000,000"
"Devenski
										
										Chris Devenski",28,"RP","Arb 1",3,"$1,525,000","-","$1,525,000","$1,525,000",0.95,"1,525,000"
"Stassi
										
										Max Stassi",28,"C","Pre-Arb",NA,"$590,100","-","$590,100","$590,100",0.37,"590,100"
"Kemp
										
										Tony Kemp",27,"LF","Pre-Arb",NA,"$583,600","-","$583,600","$583,600",0.36,"583,600"
"White
										
										Tyler White",28,"DH","Pre-Arb",NA,"$582,900","-","$582,900","$582,900",0.36,"582,900"
"James
										
										Josh James",26,"RP","Pre-Arb",3,"$566,800","-","$566,800","$566,800",0.35,"566,800"
"Valdez
										
										Framber Valdez",25,"RP","Pre-Arb",3,"$566,600","-","$566,600","$536,096",0.33,"536,096"
"Fisher
										
										Derek Fisher",25,"RF","Pre-Arb",1,"$559,400","-","$559,400","$448,192",0.28,"448,192"
