"Active.Players..36.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Gordon
										
										Alex Gordon",31,"LF","Vet","$14,000,000","-","-","$14,000,000","$14,000,000",11.06,"9,375,000"
"Rios
										
										Alex Rios",34,"RF","Vet","$9,500,000","-","-","$9,500,000","$9,500,000",7.51,"11,000,000"
"Guthrie
										
										Jeremy Guthrie",36,"SP","Vet","$9,000,000","-","-","$9,000,000","$9,000,000",7.11,"8,333,333"
"Holland
										
										Greg Holland",29,"RP","Arb 2","$8,250,000","-","-","$8,250,000","$8,250,000",6.52,"8,250,000"
"Infante
										
										Omar Infante",33,"2B","Vet","$7,500,000","-","-","$7,500,000","$7,500,000",5.93,"7,562,500"
"Volquez
										
										Edinson Volquez",31,"SP","Vet","$7,500,000","-","-","$7,500,000","$7,500,000",5.93,"10,000,000"
"Morales
										
										Kendrys Morales",32,"DH","Vet","$6,500,000","-","$750,000","$7,250,000","$7,250,000",5.73,"8,500,000"
"Davis
										
										Wade Davis",29,"RP/CL","Vet","$7,000,000","-","$25,000","$7,025,000","$7,025,000",5.55,"3,150,000"
"Hosmer
										
										Eric Hosmer",25,"1B","Arb 1","$5,650,000","-","$50,000","$5,700,000","$5,700,000",4.5,"6,950,000"
"Hochevar
										
										Luke Hochevar",31,"RP","Vet","$4,000,000","-","-","$4,000,000","$4,000,000",3.16,"5,000,000"
"Cueto
										
										Johnny Cueto",29,"SP","Vet","$3,879,781","-","-","$3,879,781","$3,879,781",3.07,"6,750,000"
"Escobar
										
										Alcides Escobar",28,"SS","Arb 3","$3,000,000","-","$100,000","$3,100,000","$3,100,000",2.45,"2,625,000"
"Zobrist
										
										Ben Zobrist",34,"2B","Vet","$2,827,868","-","-","$2,827,868","$2,827,868",2.23,"4,500,000"
"Cain
										
										Lorenzo Cain",29,"CF","Arb 1","$2,725,000","-","$100,000","$2,825,000","$2,825,000",2.23,"2,725,000"
"Moustakas
										
										Mike Moustakas",26,"3B","Arb 1","$2,640,000","-","$60,000","$2,700,000","$2,700,000",2.13,"2,640,000"
"Duffy
										
										Danny Duffy",26,"SP","Arb 1","$2,425,000","-","-","$2,425,000","$2,425,000",1.92,"2,425,000"
"Medlen
										
										Kris Medlen",29,"SP","Arb 3","$2,000,000","-","-","$2,000,000","$2,000,000",1.58,"4,250,000"
"Morales
										
										Franklin Morales",29,"RP","Vet","$1,850,000","-","-","$1,850,000","$1,850,000",1.46,"1,850,000"
"Perez
										
										Salvador Perez",25,"C","Vet","$1,750,000","-","$100,000","$1,850,000","$1,850,000",1.46,"1,400,000"
"Herrera
										
										Kelvin Herrera",25,"RP","Arb 1","$1,600,000","-","-","$1,600,000","$1,600,000",1.26,"2,075,000"
"Dyson
										
										Jarrod Dyson",30,"RF","Arb 1","$1,225,000","-","-","$1,225,000","$1,225,000",0.97,"1,225,000"
"Ventura
										
										Yordano Ventura",24,"SP","Pre-Arb","$750,000","$200,000","-","$950,000","$950,000",0.75,"4,800,000"
"Madson
										
										Ryan Madson",34,"RP","Vet","$850,000","-","-","$850,000","$850,000",0.67,"850,000"
"Butera
										
										Drew Butera",31,"C","Arb 2","$809,426","-","-","$809,426","$809,426",0.64,"987,500"
"Coleman
										
										Louis Coleman",29,"RP","Arb 1","$725,000","-","-","$725,000","$725,000",0.57,"725,000"
"Young
										
										Chris Young",36,"RP","Vet","$675,000","-","-","$675,000","$675,000",0.53,"675,000"
"Orlando
										
										Paulo Orlando",29,"RF","Pre-Arb","$507,500","-","-","$507,500","$371,612",0.29,"507,500"
"Gomes
										
										Jonny Gomes",34,"LF","Vet","$1,000,000","-","-","$1,000,000","$371,585",0.29,"4,000,000"
"Colon
										
										Christian Colon",26,"2B","Pre-Arb","$509,525","-","-","$509,525","$339,683",0.27,"509,525"
"Cuthbert
										
										Cheslor Cuthbert",22,"3B","Pre-Arb","$507,500","-","-","$507,500","$146,980",0.12,"507,500"
"Pena
										
										Francisco Pena",25,"C","Pre-Arb","$508,700","-","-","$508,700","$97,292",0.08,"508,700"
"Gore
										
										Terrance Gore",24,"LF","Pre-Arb","$508,000","-","-","$508,000","$97,158",0.08,"508,000"
"Alexander
										
										Scott Alexander",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$91,516",0.07,"507,500"
"Almonte
										
										Miguel Almonte",22,"RP","Pre-Arb","$507,500","-","-","$507,500","$91,516",0.07,"507,500"
"Chamberlain
										
										Joba Chamberlain",29,"RP","Vet","$507,500","-","-","$507,500","$72,103",0.06,"507,500"
"Mariot
										
										Michael Mariot",26,"RP","Pre-Arb","$507,500","-","-","$507,500","$44,371",0.04,"507,500"
