"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Gordon
										
										Alex Gordon",35,"LF","Vet",NA,"$20,000,000","-","$20,000,000","$20,000,000",19.96,"18,000,000"
"Kennedy
										
										Ian Kennedy",34,"RP","Vet",NA,"$16,500,000","-","$16,500,000","$16,500,000",16.47,"14,000,000"
"Duffy
										
										Danny Duffy",30,"SP","Vet",NA,"$15,250,000","-","$15,250,000","$15,250,000",15.22,"13,000,000"
"Soler
										
										Jorge Soler",27,"DH","Pre-Arb",NA,"$4,000,000","$666,667","$4,666,667","$4,666,667",4.66,"3,333,333"
"Hamilton
										
										Billy Hamilton",28,"CF","Arb 3",3,"$4,250,000","-","$4,250,000","$4,250,000",4.24,"5,250,000"
"Owings
										
										Chris Owings",27,"2B","Arb 3",3,"$3,000,000","-","$3,000,000","$3,000,000",2.99,"3,000,000"
"Maldonado
										
										Martin Maldonado",32,"C","Vet",NA,"$2,500,000","-","$2,500,000","$2,500,000",2.5,"2,500,000"
"Diekman
										
										Jake Diekman",32,"RP","Vet",NA,"$2,250,000","-","$2,250,000","$2,250,000",2.25,"2,750,000"
"Peralta
										
										Wily Peralta",30,"RP","Arb 3",NA,"$2,250,000","-","$2,250,000","$2,250,000",2.25,"3,250,000"
"Boxberger
										
										Brad Boxberger",31,"RP/CL","Arb 3",NA,"$2,200,000","-","$2,200,000","$2,200,000",2.2,"2,200,000"
"Merrifield
										
										Whit Merrifield",30,"2B","Pre-Arb",2,"$1,000,000","-","$1,000,000","$1,000,000",1,"4,062,500"
"Barlow
										
										Scott Barlow",26,"P","Pre-Arb",2,"$650,000","-","$650,000","$650,000",0.65,"650,000"
"Gore
										
										Terrance Gore",28,"CF","Pre-Arb",NA,"$650,000","-","$650,000","$650,000",0.65,"650,000"
"Junis
										
										Jake Junis",26,"SP","Pre-Arb",2,"$578,250","-","$578,250","$578,250",0.58,"578,250"
"Keller
										
										Brad Keller",23,"SP","Pre-Arb",3,"$578,175","-","$578,175","$578,175",0.58,"578,175"
"Mondesi
										
										Adalberto Mondesi",23,"SS","Pre-Arb",1,"$576,000","-","$576,000","$576,000",0.57,"576,000"
"Dozier
										
										Hunter Dozier",27,"3B","Pre-Arb",1,"$567,225","-","$567,225","$567,225",0.57,"567,225"
"Lopez
										
										Jorge Lopez",26,"SP","Pre-Arb",NA,"$562,250","-","$562,250","$562,250",0.56,"562,250"
"O'Hearn
										
										Ryan O'Hearn",25,"1B","Pre-Arb",3,"$557,650","-","$557,650","$557,650",0.56,"557,650"
"Gallagher
										
										Cameron Gallagher",26,"C","Pre-Arb",1,"$557,125","-","$557,125","$557,125",0.56,"557,125"
"Bailey
										
										Homer Bailey",33,"SP","Vet",NA,"$555,000","-","$555,000","$537,120",0.54,"537,120"
"Lovelady
										
										Richard Lovelady",23,"P","Pre-Arb",NA,"$555,000","-","$555,000","$519,216",0.52,"519,216"
"Newberry
										
										Jake Newberry",24,"RP","Pre-Arb",3,"$555,000","-","$555,000","$513,248",0.51,"513,248"
"Sparkman
										
										Glenn Sparkman",27,"RP","Pre-Arb",3,"$555,000","-","$555,000","$480,424",0.48,"480,424"
"Gutierrez
										
										Kelvin Gutierrez",24,"3B","Pre-Arb",2,"$555,000","-","$555,000","$468,488",0.47,"468,488"
