"Active.Players..41.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Pujols
										
										Albert Pujols",34,"DH","Vet","$23,000,000","-","-","$23,000,000","$23,000,000",13.91,0
"Hamilton
										
										Josh Hamilton",33,"LF","Vet","$15,000,000","$2,400,000","-","$17,400,000","$17,400,000",10.52,0
"Wilson
										
										C.J. Wilson",33,"SP","Vet","$16,000,000","$500,000","-","$16,500,000","$16,500,000",9.98,0
"Weaver
										
										Jered Weaver",31,"SP","Vet","$16,000,000","$200,000","-","$16,200,000","$16,200,000",9.79,0
"Kendrick
										
										Howie Kendrick",30,"LF","Vet","$9,350,000","$350,000","-","$9,700,000","$9,700,000",5.86,0
"Aybar
										
										Erick Aybar",30,"SS","Vet","$8,500,000","$250,000","$50,000","$8,800,000","$8,800,000",5.32,0
"Smith
										
										Joe Smith",30,"RP","Vet","$5,250,000","-","-","$5,250,000","$5,250,000",3.17,0
"Freese
										
										David Freese",31,"3B","Arb 2","$5,050,000","-","-","$5,050,000","$5,050,000",3.05,0
"Iannetta
										
										Chris Iannetta",31,"C","Vet","$4,975,000","-","-","$4,975,000","$4,975,000",3.01,0
"Burnett
										
										Sean Burnett",31,"RP","Vet","$3,750,000","$125,000","-","$3,875,000","$3,875,000",2.34,0
"Street
										
										Huston Street",30,"RP","Vet","$2,754,098","-","-","$2,754,098","$2,754,098",1.67,0
"Grilli
										
										Jason Grilli",37,"RP","Vet","$1,968,586","-","-","$1,968,586","$1,968,586",1.19,0
"Jepsen
										
										Kevin Jepsen",29,"RP","Arb 1","$1,462,500","-","-","$1,462,500","$1,462,500",0.88,0
"Hernandez
										
										Roberto Hernandez",33,"RP","Vet","$4,500,000","-","-","$4,500,000","$1,303,278",0.79,0
"Thatcher
										
										Joe Thatcher",32,"RP","Arb 3","$2,375,000","-","-","$2,375,000","$1,116,120",0.67,0
"Trout
										
										Mike Trout",22,"CF","Pre-Arb","$1,000,000","-","-","$1,000,000","$1,000,000",0.6,0
"Beckham
										
										Gordon Beckham",27,"2B","Arb 2","$889,754","-","-","$889,754","$889,754",0.54,0
"Salas
										
										Fernando Salas",29,"RP","Arb 1","$870,000","-","-","$870,000","$870,000",0.53,0
"McDonald
										
										John McDonald",39,"SS","Vet","$850,000","-","-","$850,000","$850,000",0.51,0
"Boesch
										
										Brennan Boesch",29,"RF","Pre-Arb","$800,000","-","-","$800,000","$800,000",0.48,0
"Santiago
										
										Hector Santiago",26,"RP","Pre-Arb","$530,000","-","-","$530,000","$530,000",0.32,0
"Richards
										
										Garrett Richards",26,"SP","Pre-Arb","$520,000","-","-","$520,000","$520,000",0.31,0
"Conger
										
										Hank Conger",26,"C","Pre-Arb","$517,500","-","-","$517,500","$517,500",0.31,0
"Kohn
										
										Michael Kohn",28,"RP","Pre-Arb","$515,000","-","-","$515,000","$515,000",0.31,0
"Calhoun
										
										Kole Calhoun",26,"RF","Pre-Arb","$506,000","-","-","$506,000","$506,000",0.31,0
"Cowgill
										
										Collin Cowgill",28,"RF","Pre-Arb","$506,000","-","-","$506,000","$506,000",0.31,0
"Green
										
										Grant Green",26,"LF","Pre-Arb","$502,250","-","-","$502,250","$502,250",0.3,0
"Skaggs
										
										Tyler Skaggs",22,"SP","Pre-Arb","$502,250","-","-","$502,250","$502,250",0.3,0
"Brasier
										
										Ryan Brasier",26,"SP","Pre-Arb","$500,750","-","-","$500,750","$500,750",0.3,0
"Shoemaker
										
										Matt Shoemaker",27,"SP","Pre-Arb","$500,500","-","-","$500,500","$500,500",0.3,0
"Bedrosian
										
										Cam Bedrosian",22,"RP","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.3,0
"Cron
										
										C.J. Cron",24,"1B","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.3,0
"Moran
										
										Brian Moran",25,"RP","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.3,0
"Morin
										
										Mike Morin",23,"RP","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.3,0
"Navarro
										
										Efren Navarro",28,"1B","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.3,0
"Roth
										
										Michael Roth",24,"SP","Pre-Arb","$500,000","-","-","$500,000","$322,404",0.19,0
"Pestano
										
										Vinnie Pestano",29,"RP","Pre-Arb","$975,000","-","-","$975,000","$282,377",0.17,0
"Campana
										
										Tony Campana",28,"LF","Pre-Arb","$509,500","-","-","$509,500","$239,437",0.14,0
"LeBlanc
										
										Wade LeBlanc",29,"RP","","$500,000","-","-","$500,000","$92,896",0.06,0
"O'Malley
										
										Shawn O'Malley",26,"LF","Pre-Arb","$500,000","-","-","$500,000","$76,502",0.05,0
"Buck
										
										John Buck",33,"C","Vet","$500,000","-","-","$500,000","$73,770",0.04,0
