"Active.Players..26.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Pujols
										
										Albert Pujols",39,"1B","Vet",NA,"$28,000,000","-","$28,000,000","$28,000,000",17.47,"24,000,000"
"Trout
										
										Mike Trout",27,"CF","Vet",NA,"$16,000,000","$1,666,667","$17,666,667","$17,666,667",11.02,"35,541,667"
"Simmons
										
										Andrelton Simmons",29,"SS","Vet",NA,"$13,000,000","-","$13,000,000","$13,000,000",8.11,"8,285,714"
"Harvey
										
										Matt Harvey",30,"SP","Vet",NA,"$11,000,000","-","$11,000,000","$11,000,000",6.86,"11,000,000"
"Calhoun
										
										Kole Calhoun",31,"RF","Arb 4",1,"$10,500,000","-","$10,500,000","$10,500,000",6.55,"8,666,667"
"Cahill
										
										Trevor Cahill",31,"SP","Vet",NA,"$9,000,000","-","$9,000,000","$9,000,000",5.62,"9,000,000"
"Skaggs
										
										Tyler Skaggs",27,"SP","Arb 2",1,"$3,700,000","-","$3,700,000","$3,700,000",2.31,"3,700,000"
"Lucroy
										
										Jonathan Lucroy",33,"C","Vet",NA,"$3,350,000","-","$3,350,000","$3,350,000",2.09,"3,350,000"
"Bour
										
										Justin Bour",31,"1B","Arb 2",1,"$2,500,000","-","$2,500,000","$2,500,000",1.56,"2,500,000"
"Bedrosian
										
										Cam Bedrosian",27,"RP","Arb 2",NA,"$1,750,000","-","$1,750,000","$1,750,000",1.09,"1,750,000"
"Garcia
										
										Luis Garcia",32,"RP","Arb 2",NA,"$1,675,000","-","$1,675,000","$1,675,000",1.05,"1,675,000"
"Robles
										
										Hansel Robles",28,"RP","Arb 2",NA,"$1,400,000","-","$1,400,000","$1,400,000",0.87,"1,400,000"
"La Stella
										
										Tommy La Stella",30,"2B","Arb 2",1,"$1,350,000","-","$1,350,000","$1,350,000",0.84,"1,350,000"
"Bourjos
										
										Peter Bourjos",32,"RF","Vet",NA,"$1,000,000","-","$1,000,000","$1,000,000",0.62,"1,000,000"
"Goodwin
										
										Brian Goodwin",28,"RP","Pre-Arb",NA,"$583,500","-","$583,500","$583,500",0.36,"583,500"
"Smith
										
										Kevan Smith",31,"C","Pre-Arb",NA,"$572,500","-","$572,500","$572,500",0.36,"572,500"
"Pena
										
										Felix Pena",29,"SP","Pre-Arb",1,"$569,000","-","$569,000","$569,000",0.36,"569,000"
"Ramirez
										
										Noe Ramirez",29,"RP","Pre-Arb",NA,"$569,000","-","$569,000","$569,000",0.36,"569,000"
"Stratton
										
										Chris Stratton",28,"SP","Pre-Arb",1,"$567,500","-","$567,500","$567,500",0.35,"567,500"
"Fletcher
										
										David Fletcher",25,"2B","Pre-Arb",3,"$561,500","-","$561,500","$561,500",0.35,"561,500"
"Buttrey
										
										Ty Buttrey",26,"RP","Pre-Arb",2,"$557,250","-","$557,250","$557,250",0.35,"557,250"
"Bard
										
										Luke Bard",28,"RP","Pre-Arb",3,"$575,000","-","$575,000","$534,743",0.33,"534,743"
"Anderson
										
										Justin Anderson",26,"RP","Pre-Arb",3,"$561,500","-","$561,500","$516,249",0.32,"516,249"
"Rengifo
										
										Luis Rengifo",22,"SS","Pre-Arb",3,"$555,000","-","$555,000","$471,472",0.29,"471,472"
"Ward
										
										Taylor Ward",25,"3B","Pre-Arb",3,"$555,000","-","$555,000","$465,504",0.29,"465,504"
"Canning
										
										Griffin Canning",23,"SP","Pre-Arb",NA,"$555,000","-","$555,000","$456,552",0.28,"456,552"
