"Active.Players..39.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Gonzalez
										
										Adrian Gonzalez",31,"1B","Vet","$21,000,000","$857,142","-","$21,857,142","$21,857,142",9.11,0
"Crawford
										
										Carl Crawford",31,"LF","Vet","$20,000,000","$857,142","-","$20,857,142","$20,857,142",8.69,0
"Kemp
										
										Matt Kemp",28,"RF","Vet","$20,000,000","$250,000","-","$20,250,000","$20,250,000",8.44,0
"Greinke
										
										Zack Greinke",29,"SP","Vet","$17,000,000","$2,000,000","-","$19,000,000","$19,000,000",7.92,0
"Beckett
										
										Josh Beckett",33,"SP","Vet","$15,750,000","$1,250,000","-","$17,000,000","$17,000,000",7.09,0
"Ramirez
										
										Hanley Ramirez",29,"DH","Vet","$15,500,000","-","-","$15,500,000","$15,500,000",6.46,0
"Ethier
										
										Andre Ethier",31,"CF","Vet","$13,500,000","-","-","$13,500,000","$13,500,000",5.63,0
"Kershaw
										
										Clayton Kershaw",25,"SP","Arb 2","$11,000,000","$250,000","-","$11,250,000","$11,250,000",4.69,0
"Billingsley
										
										Chad Billingsley",28,"SP","Vet","$11,000,000","-","-","$11,000,000","$11,000,000",4.59,0
"Uribe
										
										Juan Uribe",34,"3B","Vet","$7,000,000","-","-","$7,000,000","$7,000,000",2.92,0
"League
										
										Brandon League",30,"RP","Vet","$4,500,000","$1,000,000","-","$5,500,000","$5,500,000",2.29,0
"Nolasco
										
										Ricky Nolasco",30,"SP","Vet","$11,500,000","-","-","$11,500,000","$5,467,213",2.28,0
"Ellis
										
										Mark Ellis",36,"2B","Vet","$5,250,000","-","-","$5,250,000","$5,250,000",2.19,0
"Marmol
										
										Carlos Marmol",30,"RP","Vet","$9,800,000","-","-","$9,800,000","$4,873,224",2.03,0
"Hairston Jr.
										
										Jerry Hairston Jr.",37,"LF","Vet","$3,750,000","-","-","$3,750,000","$3,750,000",1.56,0
"Puig
										
										Yasiel Puig",22,"RF","Pre-Arb","$2,000,000","$1,714,285","-","$3,714,285","$3,714,285",1.55,0
"Ryu
										
										Hyun-Jin Ryu",26,"SP","Pre-Arb","$2,500,000","$833,333","$75,000","$3,408,333","$3,408,333",1.42,0
"Hernandez
										
										Ramon Hernandez",37,"C","Vet","$3,200,000","-","-","$3,200,000","$3,200,000",1.33,0
"Howell
										
										J.P. Howell",30,"RP","Vet","$2,850,000","-","-","$2,850,000","$2,850,000",1.19,0
"Ellis
										
										A.J. Ellis",32,"C","Arb 1","$2,000,000","-","-","$2,000,000","$2,000,000",0.83,0
"Punto
										
										Nick Punto",35,"SS","Vet","$1,500,000","-","-","$1,500,000","$1,500,000",0.63,0
"Schumaker
										
										Skip Schumaker",33,"LF","Vet","$1,500,000","-","-","$1,500,000","$1,500,000",0.63,0
"Belisario
										
										Ronald Belisario",30,"RP","Arb 1","$1,450,000","-","-","$1,450,000","$1,450,000",0.6,0
"Wilson
										
										Brian Wilson",31,"RP","Arb 4","$1,000,000","-","-","$1,000,000","$1,000,000",0.42,0
"Young
										
										Michael Young",36,"3B","Vet","$16,000,000","-","-","$16,000,000","$966,666",0.4,0
"Jansen
										
										Kenley Jansen",25,"RP/CL","Pre-Arb","$512,000","-","-","$512,000","$512,000",0.21,0
"Rodriguez
										
										Paco Rodriguez",22,"RP","Pre-Arb","$491,500","-","-","$491,500","$491,500",0.2,0
"Tolleson
										
										Shawn Tolleson",25,"RP","Pre-Arb","$490,000","-","-","$490,000","$490,000",0.2,0
"Federowicz
										
										Tim Federowicz",26,"C","Pre-Arb","$491,000","-","-","$491,000","$407,825",0.17,0
"Moylan
										
										Peter Moylan",34,"RP","Vet","$490,000","-","-","$490,000","$329,344",0.14,0
"Van Slyke
										
										Scott Van Slyke",26,"LF","Pre-Arb","$490,000","-","-","$490,000","$286,502",0.12,0
"Withrow
										
										Chris Withrow",24,"RP","Pre-Arb","$490,000","-","-","$490,000","$265,081",0.11,0
"Dominguez
										
										Jose Dominguez",22,"RP","Pre-Arb","$490,000","-","-","$490,000","$251,693",0.1,0
"Butera
										
										Drew Butera",29,"C","Pre-Arb","$700,000","-","-","$700,000","$237,158",0.1,0
"Gordon
										
										Dee Gordon",25,"2B","Pre-Arb","$501,000","-","-","$501,000","$175,213",0.07,0
"Volquez
										
										Edinson Volquez",29,"SP","Arb 3","$490,000","-","-","$490,000","$88,360",0.04,0
"Castellanos
										
										Alex Castellanos",27,"SP","Pre-Arb","$490,500","-","-","$490,500","$67,008",0.03,0
"Garcia
										
										Onelki Garcia",23,"SP","Pre-Arb","$490,000","-","-","$490,000","$53,551",0.02,0
"Buss
										
										Nick Buss",26,"LF","Pre-Arb","$490,000","-","-","$490,000","$45,519",0.02,0
