"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Kershaw
										
										Clayton Kershaw",31,"SP","Vet",NA,"$31,000,000","-","$31,000,000","$31,000,000",15.75,"31,000,000"
"Jansen
										
										Kenley Jansen",31,"RP/CL","Vet",NA,"$18,000,000","$1,333,334","$19,333,334","$19,333,334",9.83,"16,000,000"
"Turner
										
										Justin Turner",34,"3B","Vet",NA,"$18,000,000","$1,000,000","$19,000,000","$19,000,000",9.66,"16,000,000"
"Hill
										
										Rich Hill",39,"SP","Vet",NA,"$18,000,000","$666,668","$18,666,668","$18,666,668",9.49,"16,000,000"
"Ryu
										
										Hyun-Jin Ryu",32,"SP","Pre-Arb",NA,"$17,900,000","-","$17,900,000","$17,900,000",9.1,"17,900,000"
"Pederson
										
										Joc Pederson",27,"LF","Arb 2",3,"$5,000,000","-","$5,000,000","$5,000,000",2.54,"5,000,000"
"Freese
										
										David Freese",36,"1B","Vet",NA,"$4,500,000","-","$4,500,000","$4,500,000",2.29,"4,500,000"
"Seager
										
										Corey Seager",25,"SS","Arb 1",3,"$4,000,000","-","$4,000,000","$4,000,000",2.03,"4,000,000"
"Hernandez
										
										Enrique Hernandez",27,"CF","Arb 2",1,"$3,725,000","-","$3,725,000","$3,725,000",1.89,"3,725,000"
"Martin
										
										Russell Martin",36,"C","Vet",NA,"$20,000,000","-","$20,000,000","$3,600,000",1.83,"0"
"Taylor
										
										Chris Taylor",28,"2B","Arb 1",1,"$3,500,000","-","$3,500,000","$3,500,000",1.78,"3,500,000"
"Maeda
										
										Kenta Maeda",31,"SP","Pre-Arb",3,"$3,000,000","$125,000","$3,125,000","$3,125,000",1.59,"3,125,000"
"Kelly
										
										Joe Kelly",31,"RP","Vet",NA,"$3,000,000","-","$3,000,000","$3,000,000",1.52,"8,333,333"
"Baez
										
										Pedro Baez",31,"RP","Arb 2",2,"$2,100,000","-","$2,100,000","$2,100,000",1.07,"2,100,000"
"Garcia
										
										Yimi Garcia",28,"RP","Arb 2",NA,"$710,000","-","$710,000","$710,000",0.36,"710,000"
"Bellinger
										
										Cody Bellinger",23,"RF","Pre-Arb",3,"$605,000","-","$605,000","$605,000",0.31,"605,000"
"Stripling
										
										Ross Stripling",29,"SP","Pre-Arb",2,"$595,000","-","$595,000","$595,000",0.3,"595,000"
"Alexander
										
										Scott Alexander",29,"RP","Pre-Arb",2,"$575,000","-","$575,000","$575,000",0.29,"575,000"
"Barnes
										
										Austin Barnes",29,"C","Pre-Arb",1,"$575,000","-","$575,000","$575,000",0.29,"575,000"
"Muncy
										
										Max Muncy",28,"1B","Pre-Arb",1,"$575,000","-","$575,000","$575,000",0.29,"575,000"
"Buehler
										
										Walker Buehler",24,"SP","Pre-Arb",2,"$570,000","-","$570,000","$570,000",0.29,"570,000"
"Floro
										
										Dylan Floro",28,"RP","Pre-Arb",1,"$565,000","-","$565,000","$565,000",0.29,"565,000"
"Urias
										
										Julio Urias",22,"SP","Pre-Arb",1,"$565,000","-","$565,000","$565,000",0.29,"565,000"
"Verdugo
										
										Alex Verdugo",23,"LF","Pre-Arb",2,"$560,000","-","$560,000","$560,000",0.28,"560,000"
"d'Arnaud
										
										Travis d'Arnaud",30,"C","Arb 3",1,"$555,000","-","$555,000","$438,648",0.22,"438,648"
