"Active.Players..37.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Chen
										
										Wei-Yin Chen",31,"SP","Vet","$6,000,000","$6,500,000","-","$12,500,000","$12,500,000",16.08,"16,000,000"
"Stanton
										
										Giancarlo Stanton",26,"RF","Arb 3","$9,000,000","-","-","$9,000,000","$9,000,000",11.58,"25,000,000"
"Prado
										
										Martin Prado",32,"3B","Vet","$11,000,000","-","-","$11,000,000","$8,000,000",10.29,"13,333,333"
"Koehler
										
										Tom Koehler",30,"RP","Arb 1","$3,500,000","-","-","$3,500,000","$3,500,000",4.5,"3,500,000"
"Dunn
										
										Michael Dunn",31,"RP","Arb 3","$3,450,000","-","-","$3,450,000","$3,450,000",4.44,"2,900,000"
"Ramos
										
										A.J. Ramos",29,"RP","Arb 1","$3,400,000","-","-","$3,400,000","$3,400,000",4.37,"3,400,000"
"Gordon
										
										Dee Gordon",28,"2B","Arb 1","$3,000,000","$300,000","-","$3,300,000","$3,300,000",4.25,"10,000,000"
"Hechavarria
										
										Adeiny Hechavarria",27,"SS","Arb 1","$2,625,000","-","-","$2,625,000","$2,625,000",3.38,"2,625,000"
"Phelps
										
										David Phelps",29,"RP","Arb 2","$2,500,000","-","-","$2,500,000","$2,500,000",3.22,"2,500,000"
"Suzuki
										
										Ichiro Suzuki",42,"RF","Vet","$2,000,000","-","-","$2,000,000","$2,000,000",2.57,"2,000,000"
"Mathis
										
										Jeff Mathis",33,"C","Vet","$1,500,000","-","-","$1,500,000","$1,500,000",1.93,"1,500,000"
"McGowan
										
										Dustin McGowan",34,"RP","Vet","$1,000,000","-","-","$1,000,000","$1,000,000",1.29,"1,000,000"
"Yelich
										
										Christian Yelich",24,"LF","Pre-Arb","$1,000,000","-","-","$1,000,000","$1,000,000",1.29,"7,081,429"
"Rodney
										
										Fernando Rodney",39,"RP","Vet","$1,600,000","-","$2,500,000","$4,100,000","$830,616",1.07,"2,000,000"
"Ozuna
										
										Marcell Ozuna",25,"CF","Pre-Arb","$570,000","-","-","$570,000","$570,000",0.73,"570,000"
"Bour
										
										Justin Bour",28,"1B","Pre-Arb","$537,500","-","-","$537,500","$537,500",0.69,"537,500"
"Realmuto
										
										J.T. Realmuto",25,"C","Pre-Arb","$532,500","-","-","$532,500","$532,500",0.69,"532,500"
"Dietrich
										
										Derek Dietrich",26,"2B","Pre-Arb","$522,500","-","-","$522,500","$522,500",0.67,"522,500"
"Conley
										
										Adam Conley",26,"SP","Pre-Arb","$512,500","-","-","$512,500","$512,500",0.66,"512,500"
"Rojas
										
										Miguel Rojas",27,"SS","Pre-Arb","$511,000","-","-","$511,000","$511,000",0.66,"511,000"
"Johnson
										
										Chris Johnson",31,"3B","Arb 3","$507,500","-","-","$507,500","$507,500",0.65,"507,500"
"Barraclough
										
										Kyle Barraclough",26,"RP","Pre-Arb","$507,500","-","-","$507,500","$468,637",0.6,"507,500"
"Wittgren
										
										Nick Wittgren",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$396,539",0.51,"507,500"
"Cashner
										
										Andrew Cashner",29,"SP","Arb 3","$7,150,000","-","-","$7,150,000","$303,686",0.39,"7,150,000"
"Urena
										
										Jose Urena",24,"SP","Pre-Arb","$507,500","-","-","$507,500","$277,300",0.36,"507,500"
"Nicolino
										
										Justin Nicolino",24,"RP","Pre-Arb","$507,500","-","-","$507,500","$246,797",0.32,"507,500"
"Ellington
										
										Brian Ellington",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$224,613",0.29,"507,500"
"Francoeur
										
										Jeff Francoeur",32,"LF","Vet","$1,000,000","-","-","$1,000,000","$218,579",0.28,"1,000,000"
"Scruggs
										
										Xavier Scruggs",28,"1B","Pre-Arb","$507,500","-","-","$507,500","$124,785",0.16,"507,500"
"Brice
										
										Austin Brice",24,"RP","Pre-Arb","$507,500","-","-","$507,500","$122,012",0.16,"507,500"
"Cervenka
										
										Hunter Cervenka",26,"RP","Pre-Arb","$507,500","-","-","$507,500","$122,012",0.16,"507,500"
"Ogando
										
										Nefi Ogando",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$110,920",0.14,"507,500"
"Telis
										
										Tomas Telis",25,"1B","Pre-Arb","$507,500","-","-","$507,500","$105,374",0.14,"507,500"
"Esch
										
										Jacob Esch",26,"SP","Pre-Arb","$507,500","-","-","$507,500","$94,282",0.12,"507,500"
"Hood
										
										Destin Hood",26,"LF","Pre-Arb","$507,500","-","-","$507,500","$88,736",0.11,"507,500"
"Perez
										
										Yefri Perez",25,"CF","Pre-Arb","$507,500","-","-","$507,500","$88,736",0.11,"507,500"
"Despaigne
										
										Odrisamer Despaigne",29,"SP","Pre-Arb","$507,500","-","-","$507,500","$49,914",0.06,"507,500"
