"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Chen
										
										Wei-Yin Chen",34,"RP","Vet",NA,"$20,000,000","-","$20,000,000","$20,000,000",27.59,"16,000,000"
"Prado
										
										Martin Prado",35,"1B","Vet",NA,"$15,000,000","-","$15,000,000","$15,000,000",20.7,"13,333,333"
"Castro
										
										Starlin Castro",29,"2B","Vet",NA,"$11,000,000","$857,142","$11,857,142","$11,857,142",16.36,"8,571,429"
"Urena
										
										Jose Urena",27,"SP","Arb 1",NA,"$3,200,000","-","$3,200,000","$3,200,000",4.41,"3,200,000"
"Rojas
										
										Miguel Rojas",30,"SS","Arb 2",2,"$3,155,000","-","$3,155,000","$3,155,000",4.35,"3,155,000"
"Romo
										
										Sergio Romo",36,"RP","Vet",NA,"$2,500,000","-","$2,500,000","$2,500,000",3.45,"2,500,000"
"Walker
										
										Neil Walker",33,"1B","Vet",NA,"$2,000,000","-","$2,000,000","$2,000,000",2.76,"2,000,000"
"Granderson
										
										Curtis Granderson",38,"LF","Vet",NA,"$1,750,000","-","$1,750,000","$1,750,000",2.41,"1,750,000"
"Conley
										
										Adam Conley",29,"RP","Arb 1",1,"$1,125,000","-","$1,125,000","$1,125,000",1.55,"1,125,000"
"Anderson
										
										Brian Anderson",26,"3B","Pre-Arb",3,"$585,000","-","$585,000","$585,000",0.81,"585,000"
"Steckenrider
										
										Drew Steckenrider",28,"RP/CL","Pre-Arb",2,"$575,000","-","$575,000","$575,000",0.79,"575,000"
"Alfaro
										
										Jorge Alfaro",26,"C","Pre-Arb",NA,"$570,000","-","$570,000","$570,000",0.79,"570,000"
"Richards
										
										Trevor Richards",26,"SP","Pre-Arb",3,"$570,000","-","$570,000","$570,000",0.79,"570,000"
"Guerrero
										
										Tayron Guerrero",28,"RP","Pre-Arb",NA,"$565,000","-","$565,000","$565,000",0.78,"565,000"
"Herrera
										
										Rosell Herrera",26,"RF","Pre-Arb",1,"$560,000","-","$560,000","$560,000",0.77,"560,000"
"Smith
										
										Caleb Smith",26,"SP","Pre-Arb",3,"$556,500","-","$556,500","$556,500",0.77,"556,500"
"Alcantara
										
										Sandy Alcantara",23,"SP","Pre-Arb",3,"$555,000","-","$555,000","$555,000",0.77,"555,000"
"Anderson
										
										Nick Anderson",28,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.77,"555,000"
"Brice
										
										Austin Brice",27,"RP","Pre-Arb",1,"$555,000","-","$555,000","$555,000",0.77,"555,000"
"Kinley
										
										Tyler Kinley",28,"RP","Pre-Arb",3,"$555,000","-","$555,000","$555,000",0.77,"555,000"
"Lopez
										
										Pablo Lopez",23,"SP","Pre-Arb",3,"$555,000","-","$555,000","$555,000",0.77,"555,000"
"Wallach
										
										Chad Wallach",27,"C","Pre-Arb",3,"$555,000","-","$555,000","$555,000",0.77,"555,000"
"Galloway
										
										Isaac Galloway",29,"RF","Pre-Arb",3,"$555,000","-","$555,000","$498,328",0.69,"498,328"
"Berti
										
										Jon Berti",29,"2B","Pre-Arb",3,"$555,000","-","$555,000","$486,392",0.67,"486,392"
"O'Brien
										
										Peter O'Brien",28,"RF","Pre-Arb",2,"$555,000","-","$555,000","$480,424",0.66,"480,424"
