"Active.Players..35.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Braun
										
										Ryan Braun",32,"LF","Vet","$19,000,000","$1,000,000","-","$20,000,000","$20,000,000",32.17,"21,000,000"
"Garza
										
										Matt Garza",32,"SP","Vet","$12,500,000","-","-","$12,500,000","$12,500,000",20.11,"12,500,000"
"Peralta
										
										Wily Peralta",27,"SP","Pre-Arb","$2,800,000","-","-","$2,800,000","$2,800,000",4.5,"2,800,000"
"Carter
										
										Chris Carter",29,"1B","Arb 2","$2,500,000","-","-","$2,500,000","$2,500,000",4.02,"2,500,000"
"Maldonado
										
										Martin Maldonado",29,"C","Arb 2","$1,100,000","$25,000","-","$1,125,000","$1,125,000",1.81,"975,000"
"Boyer
										
										Blaine Boyer",34,"RP","Vet","$950,000","-","-","$950,000","$950,000",1.53,"950,000"
"Torres
										
										Carlos Torres",33,"RP","Arb 1","$950,000","-","-","$950,000","$950,000",1.53,"950,000"
"Nelson
										
										Jimmy Nelson",27,"SP","Pre-Arb","$522,300","-","-","$522,300","$522,300",0.84,"522,300"
"Anderson
										
										Chase Anderson",28,"SP","Pre-Arb","$520,200","-","-","$520,200","$520,200",0.84,"520,200"
"Gennett
										
										Scooter Gennett",26,"2B","Pre-Arb","$518,100","-","-","$518,100","$518,100",0.83,"518,100"
"Nieuwenhuis
										
										Kirk Nieuwenhuis",28,"CF","Pre-Arb","$514,000","-","-","$514,000","$514,000",0.83,"514,000"
"Thornburg
										
										Tyler Thornburg",27,"RP","Pre-Arb","$513,900","-","-","$513,900","$513,900",0.83,"513,900"
"Santana
										
										Domingo Santana",23,"RF","Pre-Arb","$513,800","-","-","$513,800","$513,800",0.83,"513,800"
"Villar
										
										Jonathan Villar",25,"SS","Pre-Arb","$512,900","-","-","$512,900","$512,900",0.83,"512,900"
"Blazek
										
										Michael Blazek",27,"RP","Pre-Arb","$514,200","-","-","$514,200","$474,890",0.76,"514,200"
"Knebel
										
										Corey Knebel",24,"RP/CL","Pre-Arb","$513,000","-","-","$513,000","$440,071",0.71,"513,000"
"Davies
										
										Zach Davies",23,"SP","Pre-Arb","$507,500","-","-","$507,500","$438,134",0.7,"507,500"
"Perez
										
										Hernan Perez",25,"LF","Pre-Arb","$507,500","-","-","$507,500","$438,134",0.7,"507,500"
"Guerra
										
										Junior Guerra",31,"SP","Pre-Arb","$507,500","-","-","$507,500","$424,269",0.68,"507,500"
"Marinez
										
										Jhan Marinez",27,"RP","Pre-Arb","$507,500","-","-","$507,500","$396,539",0.64,"507,500"
"Barnes
										
										Jacob Barnes",26,"RP","Pre-Arb","$507,500","-","-","$507,500","$341,079",0.55,"507,500"
"Broxton
										
										Keon Broxton",26,"LF","Pre-Arb","$508,500","-","-","$508,500","$297,353",0.48,"508,500"
"Elmore
										
										Jake Elmore",29,"LF","Pre-Arb","$507,500","-","-","$507,500","$268,981",0.43,"507,500"
"Rivera
										
										Yadiel Rivera",24,"2B","Pre-Arb","$508,600","-","-","$508,600","$216,762",0.35,"508,600"
"Cravy
										
										Tyler Cravy",0,"RP","Pre-Arb","$510,600","-","-","$510,600","$184,140",0.3,"510,600"
"Pina
										
										Manuel Pina",29,"C","Pre-Arb","$507,500","-","-","$507,500","$174,699",0.28,"507,500"
"Arcia
										
										Orlando Arcia",21,"SS","Pre-Arb","$507,500","-","-","$507,500","$171,926",0.28,"507,500"
"Scahill
										
										Rob Scahill",29,"RP","Pre-Arb","$507,500","-","-","$507,500","$155,288",0.25,"507,500"
"Jungmann
										
										Taylor Jungmann",26,"RP","Pre-Arb","$518,500","-","-","$518,500","$150,149",0.24,"518,500"
"Suter
										
										Brent Suter",26,"SP","Pre-Arb","$507,500","-","-","$507,500","$124,785",0.2,"507,500"
"Magnifico
										
										Damien Magnifico",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$85,963",0.14,"507,500"
"Rowen
										
										Ben Rowen",27,"RP","Pre-Arb","$507,500","-","-","$507,500","$85,963",0.14,"507,500"
"Susac
										
										Andrew Susac",26,"C","Pre-Arb","$507,500","-","-","$507,500","$74,871",0.12,"507,500"
"Reed
										
										Michael Reed",23,"LF","Pre-Arb","$507,500","-","-","$507,500","$44,368",0.07,"507,500"
"Pinto
										
										Josmil Pinto",27,"C","Pre-Arb","$507,500","-","-","$507,500","$36,049",0.06,"507,500"
