"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Braun
										
										Ryan Braun",35,"LF","Vet",NA,"$18,000,000","$1,000,000","$19,000,000","$19,000,000",14.96,"21,000,000"
"Grandal
										
										Yasmani Grandal",30,"C","Vet",NA,"$16,000,000","-","$16,000,000","$16,000,000",12.6,"18,250,000"
"Cain
										
										Lorenzo Cain",33,"CF","Vet",NA,"$15,000,000","-","$14,000,000","$14,000,000",11.03,"16,000,000"
"Yelich
										
										Christian Yelich",27,"LF","Arb 3",3,"$9,750,000","-","$9,750,000","$9,750,000",7.68,"7,081,429"
"Moustakas
										
										Mike Moustakas",30,"3B","Vet",NA,"$7,000,000","-","$7,000,000","$7,000,000",5.51,"10,000,000"
"Chacin
										
										Jhoulys Chacin",31,"SP","Vet",NA,"$6,000,000","$750,000","$6,750,000","$6,750,000",5.32,"7,750,000"
"Thames
										
										Eric Thames",32,"1B","Vet",1,"$6,000,000","-","$6,000,000","$6,000,000",4.73,"5,333,333"
"Shaw
										
										Travis Shaw",29,"3B","Arb 1",2,"$4,675,000","-","$4,675,000","$4,675,000",3.68,"4,675,000"
"Jeffress
										
										Jeremy Jeffress",31,"RP","Arb 3",NA,"$3,175,000","-","$3,175,000","$3,175,000",2.5,"3,175,000"
"Davies
										
										Zach Davies",26,"SP","Arb 1",1,"$2,600,000","-","$2,600,000","$2,600,000",2.05,"2,600,000"
"Albers
										
										Matt Albers",36,"RP","Vet",NA,"$2,500,000","-","$2,500,000","$2,500,000",1.97,"2,500,000"
"Perez
										
										Hernan Perez",28,"2B","Arb 2",NA,"$2,500,000","-","$2,500,000","$2,500,000",1.97,"2,500,000"
"Guerra
										
										Junior Guerra",34,"RP","Arb 1",1,"$2,225,000","-","$2,225,000","$2,225,000",1.75,"2,225,000"
"Gonzalez
										
										Gio Gonzalez",33,"SP","Vet",NA,"$2,000,000","-","$2,000,000","$1,709,677",1.35,"1,709,677"
"Pina
										
										Manuel Pina",32,"C","Arb 1",NA,"$1,600,000","-","$1,600,000","$1,600,000",1.26,"1,750,000"
"Claudio
										
										Alexander Claudio",27,"RP","Arb 1",1,"$1,275,000","-","$1,275,000","$1,275,000",1,"1,275,000"
"Hader
										
										Josh Hader",25,"RP/CL","Pre-Arb",2,"$687,600","-","$687,600","$687,600",0.54,"687,600"
"Aguilar
										
										Jesus Aguilar",29,"1B","Pre-Arb",NA,"$637,500","-","$637,500","$637,500",0.5,"637,500"
"Gamel
										
										Ben Gamel",27,"LF","Pre-Arb",1,"$567,700","-","$567,700","$567,700",0.45,"567,700"
"Arcia
										
										Orlando Arcia",24,"SS","Pre-Arb",2,"$565,700","-","$565,700","$565,700",0.45,"565,700"
"Peralta
										
										Freddy Peralta",23,"SP","Pre-Arb",3,"$564,600","-","$564,600","$564,600",0.44,"564,600"
"Woodruff
										
										Brandon Woodruff",26,"SP","Pre-Arb",2,"$561,400","-","$561,400","$561,400",0.44,"561,400"
"Burnes
										
										Corbin Burnes",24,"SP","Pre-Arb",3,"$562,800","-","$562,800","$526,524",0.41,"526,524"
"Houser
										
										Adrian Houser",26,"SP","Pre-Arb",1,"$555,000","-","$555,000","$450,584",0.35,"450,584"
"Smith
										
										Burch Smith",29,"RP","Pre-Arb",2,"$555,000","-","$555,000","$441,632",0.35,"441,632"
