"Active.Players..35.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Mauer
										
										Joe Mauer",30,"1B","Vet","$23,000,000","-","$50,000","$23,050,000","$23,050,000",28.3,0
"Willingham
										
										Josh Willingham",34,"LF","Vet","$7,000,000","-","-","$7,000,000","$7,000,000",8.59,0
"Correia
										
										Kevin Correia",32,"SP","Vet","$4,500,000","-","-","$4,500,000","$4,500,000",5.52,0
"Pelfrey
										
										Mike Pelfrey",29,"RP","Arb 3","$4,000,000","-","-","$4,000,000","$4,000,000",4.91,0
"Doumit
										
										Ryan Doumit",32,"C","Vet","$3,500,000","-","-","$3,500,000","$3,500,000",4.3,0
"Perkins
										
										Glen Perkins",30,"RP","Arb 3","$2,500,000","-","$25,000","$2,525,000","$2,525,000",3.1,0
"Burton
										
										Jared Burton",32,"RP","Vet","$2,050,000","-","-","$2,050,000","$2,050,000",2.52,0
"Duensing
										
										Brian Duensing",30,"RP","Arb 1","$1,300,000","-","-","$1,300,000","$1,300,000",1.6,0
"Diamond
										
										Scott Diamond",26,"SP","Pre-Arb","$530,000","-","-","$530,000","$530,000",0.65,0
"Worley
										
										Vance Worley",25,"RP","Pre-Arb","$525,000","-","-","$525,000","$525,000",0.64,0
"Plouffe
										
										Trevor Plouffe",27,"3B","Pre-Arb","$520,000","-","-","$520,000","$520,000",0.64,0
"Roenicke
										
										Josh Roenicke",30,"RP","Pre-Arb","$505,000","-","-","$505,000","$505,000",0.62,0
"Swarzak
										
										Anthony Swarzak",27,"RP","Pre-Arb","$502,500","-","-","$502,500","$502,500",0.62,0
"DeVries
										
										Cole DeVries",28,"SP","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.61,0
"Fien
										
										Casey Fien",29,"RP","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.61,0
"Dozier
										
										Brian Dozier",26,"2B","Pre-Arb","$497,500","-","-","$497,500","$497,500",0.61,0
"Florimon
										
										Pedro Florimon",26,"SS","Pre-Arb","$495,000","-","-","$495,000","$495,000",0.61,0
"Hicks
										
										Aaron Hicks",23,"RF","Pre-Arb","$490,000","-","-","$490,000","$490,000",0.6,0
"Pressly
										
										Ryan Pressly",24,"RP","Pre-Arb","$490,000","-","-","$490,000","$490,000",0.6,0
"Thielbar
										
										Caleb Thielbar",26,"RP","Pre-Arb","$490,000","-","-","$490,000","$356,120",0.44,0
"Colabello
										
										Chris Colabello",29,"1B","Pre-Arb","$490,000","-","-","$490,000","$353,442",0.43,0
"Deduno
										
										Samuel Deduno",29,"RP","Pre-Arb","$490,000","-","-","$490,000","$348,087",0.43,0
"Parmelee
										
										Chris Parmelee",25,"1B","Pre-Arb","$497,500","-","-","$497,500","$347,978",0.43,0
"Escobar
										
										Eduardo Escobar",24,"SS","Pre-Arb","$495,000","-","-","$495,000","$346,229",0.43,0
"Thomas
										
										Clete Thomas",29,"LF","Pre-Arb","$490,000","-","-","$490,000","$321,311",0.39,0
"Arcia
										
										Oswaldo Arcia",22,"LF","Pre-Arb","$490,000","-","-","$490,000","$273,114",0.34,0
"Herrmann
										
										Chris Herrmann",25,"C","Pre-Arb","$490,000","-","-","$490,000","$254,371",0.31,0
"Hernandez
										
										Pedro Hernandez",24,"RP","Pre-Arb","$490,000","-","-","$490,000","$203,497",0.25,0
"Albers
										
										Andrew Albers",27,"RP","Pre-Arb","$490,000","-","-","$490,000","$157,978",0.19,0
"Hendriks
										
										Liam Hendriks",24,"RP","Pre-Arb","$500,000","-","-","$500,000","$139,344",0.17,0
"Pinto
										
										Josmil Pinto",24,"C","Pre-Arb","$490,000","-","-","$490,000","$83,005",0.1,0
"Presley
										
										Alex Presley",27,"LF","Pre-Arb","$490,000","-","-","$490,000","$83,005",0.1,0
"Tonkin
										
										Michael Tonkin",23,"RP","Pre-Arb","$490,000","-","-","$490,000","$77,650",0.1,0
"Fryer
										
										Eric Fryer",27,"C","Pre-Arb","$490,000","-","-","$490,000","$58,907",0.07,0
"Martis
										
										Shairon Martis",26,"SP","Pre-Arb","$490,000","-","-","$490,000","$58,907",0.07,0
