"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Cruz
										
										Nelson Cruz",38,"DH","Vet",NA,"$14,000,000","-","$14,000,000","$14,000,000",11.55,"14,300,000"
"Gonzalez
										
										Marwin Gonzalez",30,"LF","Vet",NA,"$12,000,000","-","$12,000,000","$12,000,000",9.9,"10,500,000"
"Odorizzi
										
										Jake Odorizzi",29,"SP","Arb 3",2,"$9,500,000","-","$9,500,000","$9,500,000",7.83,"9,500,000"
"Gibson
										
										Kyle Gibson",31,"SP","Arb 3",1,"$8,125,000","-","$8,125,000","$8,125,000",6.7,"8,125,000"
"Castro
										
										Jason Castro",32,"C","Vet",NA,"$8,000,000","-","$8,000,000","$8,000,000",6.6,"8,166,667"
"Pineda
										
										Michael Pineda",30,"SP","Vet",NA,"$8,000,000","-","$8,000,000","$8,000,000",6.6,"5,000,000"
"Schoop
										
										Jonathan Schoop",27,"2B","Arb 3",2,"$7,500,000","-","$7,500,000","$7,500,000",6.18,"7,500,000"
"Kepler
										
										Max Kepler",26,"CF","Arb 1",NA,"$6,000,000","-","$6,000,000","$6,000,000",4.95,"7,000,000"
"Cron
										
										C.J. Cron",29,"1B","Arb 2",NA,"$4,800,000","-","$4,800,000","$4,800,000",3.96,"4,800,000"
"Rosario
										
										Eddie Rosario",27,"LF","Arb 1",1,"$4,190,000","-","$4,190,000","$4,190,000",3.46,"4,190,000"
"Polanco
										
										Jorge Polanco",25,"SS","Pre-Arb",NA,"$3,583,333","-","$3,583,333","$3,583,333",2.96,"5,150,000"
"Perez
										
										Martin Perez",28,"RP","Vet",NA,"$3,500,000","-","$3,500,000","$3,500,000",2.89,"4,000,000"
"Parker
										
										Blake Parker",34,"RP/CL","Arb 2",NA,"$1,800,000","-","$1,800,000","$1,800,000",1.48,"1,800,000"
"Buxton
										
										Byron Buxton",25,"CF","Arb 1",2,"$1,750,000","-","$1,750,000","$1,750,000",1.44,"1,750,000"
"Rogers
										
										Taylor Rogers",28,"RP","Arb 1",2,"$1,525,000","-","$1,525,000","$1,525,000",1.26,"1,525,000"
"Adrianza
										
										Ehire Adrianza",29,"SS","Arb 3",NA,"$1,300,000","-","$1,300,000","$1,300,000",1.07,"1,300,000"
"May
										
										Trevor May",29,"RP/CL","Arb 2",1,"$900,000","-","$900,000","$900,000",0.74,"900,000"
"Berrios
										
										Jose Berrios",25,"SP","Pre-Arb",1,"$620,000","-","$620,000","$620,000",0.51,"620,000"
"Garver
										
										Mitch Garver",28,"C","Pre-Arb",2,"$575,000","-","$575,000","$575,000",0.47,"575,000"
"Hildenberger
										
										Trevor Hildenberger",28,"RP","Pre-Arb",3,"$572,500","-","$572,500","$572,500",0.47,"572,500"
"Cave
										
										Jake Cave",26,"RF","Pre-Arb",3,"$572,500","-","$572,500","$560,196",0.46,"560,196"
"Magill
										
										Matt Magill",29,"SP","Pre-Arb",NA,"$560,000","-","$560,000","$560,000",0.46,"560,000"
"Harper
										
										Ryne Harper",30,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.46,"555,000"
"Romero
										
										Fernando Romero",24,"SP","Pre-Arb",2,"$555,000","-","$555,000","$477,440",0.39,"477,440"
"Morin
										
										Mike Morin",28,"RP","Arb 2",NA,"$555,000","-","$555,000","$450,584",0.37,"450,584"
