"Active.Players..38.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Santana
										
										Johan Santana",32,"SP","Vet","$22,500,000","-","-","$22,500,000","$22,500,000",15.86,0
"Bay
										
										Jason Bay",23,"RF","Vet","$16,000,000","$2,125,000","-","$18,125,000","$18,125,000",12.78,0
"Wright
										
										David Wright",28,"3B","Vet","$14,000,000","$250,000","-","$14,250,000","$14,250,000",10.05,0
"Reyes
										
										Jose Reyes",28,"3B","Vet","$11,000,000","-","$50,000","$11,050,000","$11,050,000",7.79,0
"Pelfrey
										
										Mike Pelfrey",27,"RP","Arb 1","$3,925,000","-","-","$3,925,000","$3,925,000",2.77,0
"Pagan
										
										Angel Pagan",29,"LF","Arb 2","$3,500,000","-","-","$3,500,000","$3,500,000",2.47,0
"Dickey
										
										R.A. Dickey",36,"SP","Vet","$2,250,000","$500,000","-","$2,750,000","$2,750,000",1.94,0
"Igarashi
										
										Ryota Igarashi",32,"RP","Pre-Arb","$1,750,000","-","-","$1,750,000","$1,750,000",1.23,0
"Capuano
										
										Chris Capuano",32,"RP","Vet","$1,500,000","-","-","$1,500,000","$1,500,000",1.06,0
"Paulino
										
										Ronny Paulino",30,"C","Vet","$1,350,000","-","-","$1,350,000","$1,350,000",0.95,0
"Carrasco
										
										D.J. Carrasco",34,"RP","Pre-Arb","$1,200,000","-","-","$1,200,000","$1,200,000",0.85,0
"Hairston
										
										Scott Hairston",31,"RF","Arb 3","$1,100,000","-","-","$1,100,000","$1,100,000",0.78,0
"Young
										
										Chris Young",32,"RP","Vet","$1,100,000","-","-","$1,100,000","$1,100,000",0.78,0
"Matthews Jr.
										
										Gary Matthews Jr.",36,"CF","Pre-Arb","$12,000,000","$400,000","-","$12,400,000","$1,000,000",0.71,0
"Byrdak
										
										Tim Byrdak",37,"RP","Vet","$900,000","-","-","$900,000","$900,000",0.63,0
"Harris
										
										Willie Harris",33,"LF","Pre-Arb","$800,000","-","-","$800,000","$800,000",0.56,0
"Boyer
										
										Blaine Boyer",29,"RP","","$725,000","-","-","$725,000","$725,000",0.51,0
"Buchholz
										
										Taylor Buchholz",29,"RP","Pre-Arb","$600,000","-","-","$600,000","$600,000",0.42,0
"Niese
										
										Jonathan Niese",24,"RP","Pre-Arb","$452,000","-","-","$452,000","$452,000",0.32,0
"Parnell
										
										Bobby Parnell",26,"RP","Pre-Arb","$433,500","-","-","$433,500","$433,500",0.31,0
"Davis
										
										Ike Davis",24,"1B","Pre-Arb","$432,000","-","-","$432,000","$432,000",0.3,0
"Murphy
										
										Daniel Murphy",26,"2B","Pre-Arb","$422,000","-","-","$422,000","$422,000",0.3,0
"Hu
										
										Chin-Lung Hu",27,"SS","Pre-Arb","$420,000","-","-","$420,000","$420,000",0.3,0
"Thole
										
										Josh Thole",24,"C","Pre-Arb","$420,000","-","-","$420,000","$420,000",0.3,0
"Acosta
										
										Manny Acosta",30,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Beato
										
										Pedro Beato",24,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Duda
										
										Lucas Duda",25,"1B","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Gee
										
										Dillon Gee",25,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Martinez
										
										Fernando Martinez",22,"RF","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Mejia
										
										Jenrry Mejia",21,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Nickeas
										
										Michael Nickeas",28,"C","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Satin
										
										Josh Satin",26,"1B","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Schwinden
										
										Chris Schwinden",24,"SP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Stinson
										
										Josh Stinson",23,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Tejada
										
										Ruben Tejada",21,"SS","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Thayer
										
										Dale Thayer",30,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Turner
										
										Justin Turner",26,"3B","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.29,0
"Batista
										
										Miguel Batista",40,"SP","Vet","$414,000","-","-","$414,000","$76,918",0.05,0
