"Active.Players..26.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Cano
										
										Robinson Cano",36,"2B","Vet",NA,"$24,000,000","-","$24,000,000","$19,000,000",11.86,"19,000,000"
"Frazier
										
										Todd Frazier",33,"3B","Vet",NA,"$9,000,000","-","$9,000,000","$9,000,000",5.62,"8,500,000"
"Lagares
										
										Juan Lagares",30,"CF","Arb 4",1,"$9,000,000","-","$9,000,000","$9,000,000",5.62,"4,710,739"
"deGrom
										
										Jacob deGrom",31,"SP","Arb 3",2,"$7,000,000","$2,000,000","$9,000,000","$9,000,000",5.62,"27,500,000"
"Vargas
										
										Jason Vargas",36,"SP","Vet",NA,"$8,000,000","-","$8,000,000","$8,000,000",4.99,"8,000,000"
"Ramos
										
										Wilson Ramos",31,"C","Vet",NA,"$6,250,000","$1,000,000","$7,250,000","$7,250,000",4.53,"9,500,000"
"Syndergaard
										
										Noah Syndergaard",26,"SP","Arb 2",2,"$6,000,000","-","$6,000,000","$6,000,000",3.75,"6,000,000"
"Wheeler
										
										Zack Wheeler",29,"SP","Arb 3",2,"$5,975,000","-","$5,975,000","$5,975,000",3.73,"5,975,000"
"Conforto
										
										Michael Conforto",26,"RF","Arb 1",2,"$4,025,000","-","$4,025,000","$4,025,000",2.51,"4,025,000"
"Hechavarria
										
										Adeiny Hechavarria",30,"SS","Vet",NA,"$3,000,000","-","$3,000,000","$3,000,000",1.87,"3,000,000"
"Matz
										
										Steven Matz",28,"SP","Arb 1",1,"$2,625,000","-","$2,625,000","$2,625,000",1.64,"2,625,000"
"Diaz
										
										Edwin Diaz",25,"RP/CL","Pre-Arb",3,"$607,425","-","$607,425","$607,425",0.38,"607,425"
"Nimmo
										
										Brandon Nimmo",26,"CF","Pre-Arb",1,"$598,285","-","$598,285","$598,285",0.37,"598,285"
"Lugo
										
										Seth Lugo",29,"RP","Pre-Arb",2,"$591,875","-","$591,875","$591,875",0.37,"591,875"
"Gsellman
										
										Robert Gsellman",25,"RP","Pre-Arb",2,"$582,500","-","$582,500","$582,500",0.36,"582,500"
"Rosario
										
										Amed Rosario",23,"SS","Pre-Arb",2,"$575,500","-","$575,500","$575,500",0.36,"575,500"
"Broxton
										
										Keon Broxton",29,"RF","Pre-Arb",1,"$571,765","-","$571,765","$571,765",0.36,"571,765"
"McNeil
										
										Jeff McNeil",27,"2B","Pre-Arb",3,"$567,714","-","$567,714","$567,714",0.35,"567,714"
"Davis
										
										J.D. Davis",26,"3B","Pre-Arb",3,"$561,420","-","$561,420","$561,420",0.35,"561,420"
"Alonso
										
										Pete Alonso",0,"1B","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.35,"555,000"
"Nido
										
										Tomas Nido",25,"C","Pre-Arb",2,"$556,300","-","$556,300","$496,506",0.31,"496,506"
"Zamora
										
										Daniel Zamora",26,"RP","Pre-Arb",3,"$555,000","-","$555,000","$483,408",0.3,"483,408"
"Peterson
										
										Tim Peterson",28,"RP","Vet",3,"$555,000","-","$555,000","$477,440",0.3,"477,440"
"Gagnon
										
										Drew Gagnon",29,"SP","Pre-Arb",3,"$555,000","-","$555,000","$471,472",0.29,"471,472"
"Font
										
										Wilmer Font",29,"RP","Pre-Arb",NA,"$560,400","-","$560,400","$445,906",0.28,"445,906"
"Bashlor
										
										Tyler Bashlor",26,"RP","Pre-Arb",3,"$555,000","-","$555,000","$441,632",0.28,"441,632"
