"Active.Players..36.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Sabathia
										
										C.C. Sabathia",35,"SP","Vet","$25,000,000","-","-","$25,000,000","$25,000,000",11.33,"23,000,000"
"Teixeira
										
										Mark Teixeira",36,"1B","Vet","$22,500,000","$625,000","-","$23,125,000","$23,125,000",10.48,"22,500,000"
"Tanaka
										
										Masahiro Tanaka",27,"SP","Pre-Arb","$22,000,000","-","-","$22,000,000","$22,000,000",9.97,"22,142,857"
"Ellsbury
										
										Jacoby Ellsbury",32,"CF","Vet","$21,142,857","-","-","$21,142,857","$21,142,857",9.58,"21,857,143"
"McCann
										
										Brian McCann",32,"C","Vet","$17,000,000","-","-","$17,000,000","$17,000,000",7.7,"17,000,000"
"Headley
										
										Chase Headley",32,"3B","Vet","$13,000,000","-","$750,000","$13,750,000","$13,750,000",6.23,"13,000,000"
"Gardner
										
										Brett Gardner",32,"LF","Vet","$13,000,000","$500,000","-","$13,500,000","$13,500,000",6.12,"13,000,000"
"Castro
										
										Starlin Castro",26,"2B","Arb 4","$7,000,000","$857,142","-","$7,857,142","$7,857,142",3.56,"8,571,429"
"Pineda
										
										Michael Pineda",27,"SP","Arb 2","$4,300,000","-","-","$4,300,000","$4,300,000",1.95,"4,300,000"
"Gregorius
										
										Didi Gregorius",26,"SS","Arb 1","$2,425,000","-","-","$2,425,000","$2,425,000",1.1,"2,425,000"
"Clippard
										
										Tyler Clippard",31,"RP","Vet","$4,100,000","$2,000,000","-","$6,100,000","$1,433,879",0.65,"6,125,000"
"Young Jr.
										
										Eric Young Jr.",31,"CF","Arb 3","$1,000,000","-","-","$1,000,000","$1,000,000",0.45,"1,000,000"
"Warren
										
										Adam Warren",28,"RP","Arb 1","$1,700,000","-","-","$1,700,000","$650,273",0.29,"1,700,000"
"Hicks
										
										Aaron Hicks",26,"RF","Pre-Arb","$574,000","-","-","$574,000","$574,000",0.26,"574,000"
"Romine
										
										Austin Romine",27,"C","Pre-Arb","$556,000","-","-","$556,000","$556,000",0.25,"556,000"
"Torreyes
										
										Ronald Torreyes",23,"2B","Pre-Arb","$508,600","-","-","$508,600","$508,600",0.23,"508,600"
"Betances
										
										Dellin Betances",28,"RP","Pre-Arb","$507,500","-","-","$507,500","$507,500",0.23,"507,500"
"Swarzak
										
										Anthony Swarzak",30,"RP","Arb 2","$750,000","-","-","$750,000","$483,564",0.22,"750,000"
"Shreve
										
										Chasen Shreve",25,"RP","Pre-Arb","$533,400","-","-","$533,400","$419,760",0.19,"533,400"
"Yates
										
										Kirby Yates",29,"RP","Pre-Arb","$511,900","-","-","$511,900","$363,610",0.16,"511,900"
"Goody
										
										Nick Goody",24,"RP","Pre-Arb","$507,500","-","-","$507,500","$327,214",0.15,"507,500"
"Refsnyder
										
										Rob Refsnyder",25,"2B","Pre-Arb","$507,500","-","-","$507,500","$313,349",0.14,"507,500"
"Severino
										
										Luis Severino",22,"SP","Pre-Arb","$521,300","-","-","$521,300","$304,843",0.14,"521,300"
"Bleier
										
										Richard Bleier",29,"RP","Pre-Arb","$507,500","-","-","$507,500","$274,527",0.12,"507,500"
"Cessa
										
										Luis Cessa",24,"RP","Pre-Arb","$507,500","-","-","$507,500","$266,208",0.12,"507,500"
"Sanchez
										
										Gary Sanchez",23,"C","Pre-Arb","$507,500","-","-","$507,500","$171,926",0.08,"507,500"
"Layne
										
										Tom Layne",31,"RP","Pre-Arb","$507,500","-","-","$507,500","$152,515",0.07,"507,500"
"Parker
										
										Blake Parker",31,"RP/CL","Pre-Arb","$507,500","-","-","$507,500","$152,515",0.07,"507,500"
"Austin
										
										Tyler Austin",24,"1B","Pre-Arb","$507,500","-","-","$507,500","$141,423",0.06,"507,500"
"Heller
										
										Ben Heller",24,"P","Pre-Arb","$507,500","-","-","$507,500","$119,239",0.05,"507,500"
"Holder
										
										Jonathan Holder",24,"RP","Pre-Arb","$507,500","-","-","$507,500","$85,963",0.04,"507,500"
"Pazos
										
										James Pazos",25,"RP","Pre-Arb","$507,500","-","-","$507,500","$85,963",0.04,"507,500"
"Mitchell
										
										Bryan Mitchell",25,"SP","Pre-Arb","$516,650","-","-","$516,650","$76,221",0.03,"516,650"
"Williams
										
										Mason Williams",24,"CF","Pre-Arb","$509,700","-","-","$509,700","$52,915",0.02,"509,700"
"Butler
										
										Billy Butler",30,"DH","Vet","$507,500","-","-","$507,500","$49,914",0.02,"507,500"
"Solano
										
										Donovan Solano",28,"2B","Arb 1","$507,500","-","-","$507,500","$41,595",0.02,"507,500"
