"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Tanaka
										
										Masahiro Tanaka",30,"SP","Pre-Arb",3,"$22,000,000","-","$22,000,000","$22,000,000",10.55,"22,142,857"
"Chapman
										
										Aroldis Chapman",31,"RP/CL","Vet",NA,"$15,000,000","$2,200,000","$17,200,000","$17,200,000",8.25,"17,200,000"
"Happ
										
										J.A. Happ",36,"SP","Vet",NA,"$17,000,000","-","$17,000,000","$17,000,000",8.15,"17,000,000"
"Britton
										
										Zack Britton",31,"RP","Vet",NA,"$13,000,000","-","$13,000,000","$13,000,000",6.23,"13,000,000"
"LeMahieu
										
										D.J. LeMahieu",30,"2B","Vet",NA,"$12,000,000","-","$12,000,000","$12,000,000",5.75,"12,000,000"
"Ottavino
										
										Adam Ottavino",33,"RP","Vet",NA,"$8,000,000","$1,000,000","$9,000,000","$9,000,000",4.31,"9,000,000"
"Sabathia
										
										C.C. Sabathia",38,"SP","Vet",NA,"$8,000,000","-","$8,000,000","$8,000,000",3.84,"8,000,000"
"Gardner
										
										Brett Gardner",35,"LF","Vet",NA,"$7,500,000","-","$7,500,000","$7,500,000",3.6,"7,500,000"
"Romine
										
										Austin Romine",30,"C","Arb 3",NA,"$1,800,000","-","$1,800,000","$1,800,000",0.86,"1,800,000"
"Kahnle
										
										Tommy Kahnle",29,"RP","Arb 2",1,"$1,387,500","-","$1,387,500","$1,387,500",0.67,"1,387,500"
"Sanchez
										
										Gary Sanchez",26,"C","Pre-Arb",NA,"$669,800","-","$669,800","$669,800",0.32,"669,800"
"Andujar
										
										Miguel Andujar",24,"3B","Pre-Arb",2,"$617,600","-","$617,600","$617,600",0.3,"617,600"
"Torres
										
										Gleyber Torres",22,"SS","Pre-Arb",3,"$605,200","-","$605,200","$605,200",0.29,"605,200"
"Holder
										
										Jonathan Holder",27,"RP","Pre-Arb",2,"$580,300","-","$580,300","$580,300",0.28,"580,300"
"Cessa
										
										Luis Cessa",27,"RP","Pre-Arb",1,"$578,975","-","$578,975","$578,975",0.28,"578,975"
"German
										
										Domingo German",26,"SP","Pre-Arb",1,"$577,500","-","$577,500","$577,500",0.28,"577,500"
"Voit
										
										Luke Voit",28,"1B","Pre-Arb",3,"$573,200","-","$573,200","$573,200",0.27,"573,200"
"Wade
										
										Tyler Wade",24,"2B","Pre-Arb",3,"$572,000","-","$572,000","$559,650",0.27,"559,650"
"Tauchman
										
										Mike Tauchman",28,"CF","Pre-Arb",1,"$557,000","-","$557,000","$557,000",0.27,"557,000"
"Frazier
										
										Clint Frazier",24,"OF","Pre-Arb",3,"$563,300","-","$563,300","$551,096",0.26,"551,096"
"Urshela
										
										Giovanny Urshela",27,"3B","Pre-Arb",NA,"$555,000","-","$555,000","$528,168",0.25,"528,168"
"Harvey
										
										Joe Harvey",27,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$510,264",0.24,"510,264"
"Estrada
										
										Thairo Estrada",23,"2B","Pre-Arb",3,"$555,000","-","$555,000","$489,376",0.23,"489,376"
"Maybin
										
										Cameron Maybin",32,"RF","Vet",NA,"$555,000","-","$555,000","$471,472",0.23,"471,472"
"Barrett
										
										Jake Barrett",27,"RP","Pre-Arb",2,"$555,000","-","$555,000","$444,616",0.21,"444,616"
