"Active.Players..38.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Young
										
										Chris Young",29,"RF","Vet","$8,500,000","$200,000","-","$8,700,000","$8,700,000",12.97,0
"Cespedes
										
										Yoenis Cespedes",27,"CF","Pre-Arb","$8,500,000","-","-","$8,500,000","$8,500,000",12.68,0
"Crisp
										
										Coco Crisp",33,"CF","Vet","$7,000,000","-","-","$7,000,000","$7,000,000",10.44,0
"Anderson
										
										Brett Anderson",25,"SP","Vet","$5,500,000","$250,000","-","$5,750,000","$5,750,000",8.57,0
"Balfour
										
										Grant Balfour",35,"RP","Vet","$4,500,000","-","$50,000","$4,550,000","$4,550,000",6.79,0
"Smith
										
										Seth Smith",30,"RF","Arb 2","$3,675,000","-","-","$3,675,000","$3,675,000",5.48,0
"Colon
										
										Bartolo Colon",40,"SP","Vet","$3,000,000","-","-","$3,000,000","$3,000,000",4.47,0
"Lowrie
										
										Jed Lowrie",29,"2B","Arb 2","$2,400,000","-","-","$2,400,000","$2,400,000",3.58,0
"Jaso
										
										John Jaso",29,"RF","Arb 1","$1,800,000","-","-","$1,800,000","$1,800,000",2.68,0
"Moss
										
										Brandon Moss",29,"DH","Pre-Arb","$1,600,000","-","-","$1,600,000","$1,600,000",2.39,0
"Callaspo
										
										Alberto Callaspo",30,"3B","Arb 3","$4,100,000","-","-","$4,100,000","$1,388,709",2.07,0
"Suzuki
										
										Kurt Suzuki",29,"C","Vet","$6,450,000","$37,500","-","$6,487,500","$1,374,590",2.05,0
"Resop
										
										Chris Resop",30,"RP","Arb 2","$1,350,000","-","-","$1,350,000","$1,350,000",2.01,0
"Barton
										
										Daric Barton",27,"1B","Pre-Arb","$1,100,000","-","-","$1,100,000","$1,100,000",1.64,0
"Blevins
										
										Jerry Blevins",29,"RP","Arb 1","$1,100,000","-","-","$1,100,000","$1,100,000",1.64,0
"Neshek
										
										Pat Neshek",32,"RP","Arb 2","$975,000","-","-","$975,000","$975,000",1.45,0
"Reddick
										
										Josh Reddick",26,"RF","Pre-Arb","$510,000","-","-","$510,000","$510,000",0.76,0
"Cook
										
										Ryan Cook",26,"RP","Pre-Arb","$505,000","-","-","$505,000","$505,000",0.75,0
"Sizemore
										
										Scott Sizemore",28,"2B","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.75,0
"Parker
										
										Jarrod Parker",24,"SP","Pre-Arb","$495,000","-","-","$495,000","$495,000",0.74,0
"Sogard
										
										Eric Sogard",27,"2B","Pre-Arb","$495,000","-","-","$495,000","$495,000",0.74,0
"Donaldson
										
										Josh Donaldson",27,"3B","Pre-Arb","$492,500","-","-","$492,500","$492,500",0.73,0
"Doolittle
										
										Sean Doolittle",26,"RP/CL","Pre-Arb","$492,500","-","-","$492,500","$492,500",0.73,0
"Griffin
										
										A.J. Griffin",25,"RP","Pre-Arb","$492,500","-","-","$492,500","$492,500",0.73,0
"Norris
										
										Derek Norris",24,"C","Pre-Arb","$492,500","-","-","$492,500","$492,500",0.73,0
"Rodriguez
										
										Fernando Rodriguez",29,"RP","Pre-Arb","$492,000","-","-","$492,000","$492,000",0.73,0
"Freiman
										
										Nate Freiman",26,"1B","Pre-Arb","$490,000","-","-","$490,000","$490,000",0.73,0
"Milone
										
										Tom Milone",26,"RP","Pre-Arb","$495,000","-","-","$495,000","$443,606",0.66,0
"Chavez
										
										Jesse Chavez",29,"RP","Pre-Arb","$490,000","-","-","$490,000","$406,994",0.61,0
"Straily
										
										Dan Straily",24,"SP","Pre-Arb","$492,500","-","-","$492,500","$376,775",0.56,0
"Otero
										
										Dan Otero",28,"RP","Pre-Arb","$490,000","-","-","$490,000","$287,150",0.43,0
"Vogt
										
										Stephen Vogt",28,"C","Pre-Arb","$490,000","-","-","$490,000","$203,497",0.3,0
"Scribner
										
										Evan Scribner",27,"RP","Pre-Arb","$495,000","-","-","$495,000","$183,934",0.27,0
"Gray
										
										Sonny Gray",23,"SP","Pre-Arb","$490,000","-","-","$490,000","$163,333",0.24,0
"Blackley
										
										Travis Blackley",30,"SP","Pre-Arb","$550,000","-","-","$550,000","$123,224",0.18,0
"Parrino
										
										Andy Parrino",27,"3B","Pre-Arb","$492,500","-","-","$492,500","$121,106",0.18,0
"Choice
										
										Michael Choice",23,"LF","Pre-Arb","$490,000","-","-","$490,000","$80,327",0.12,0
"Weeks
										
										Jemile Weeks",26,"2B","Pre-Arb","$490,000","-","-","$490,000","$80,327",0.12,0
