"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Davis
										
										Khris Davis",31,"DH","Arb 3",2,"$16,500,000","-","$16,500,000","$16,500,000",17.76,"16,500,000"
"Piscotty
										
										Stephen Piscotty",28,"RF","Arb 1",3,"$7,000,000","$333,333","$7,333,333","$7,333,333",7.89,"5,583,333"
"Soria
										
										Joakim Soria",35,"RP","Vet",NA,"$6,500,000","-","$6,500,000","$6,500,000",7,"7,500,000"
"Treinen
										
										Blake Treinen",31,"RP/CL","Arb 2",2,"$6,400,000","-","$6,400,000","$6,400,000",6.89,"6,400,000"
"Fiers
										
										Michael Fiers",34,"SP","Arb 3",NA,"$6,000,000","-","$6,000,000","$6,000,000",6.46,"7,050,000"
"Semien
										
										Marcus Semien",28,"SS","Arb 2",2,"$5,900,000","-","$5,900,000","$5,900,000",6.35,"5,900,000"
"Petit
										
										Yusmeiro Petit",34,"RP","Vet",NA,"$5,500,000","-","$5,500,000","$5,500,000",5.92,"5,000,000"
"Rodney
										
										Fernando Rodney",42,"RP","Vet",NA,"$5,250,000","-","$5,250,000","$5,250,000",5.65,"5,250,000"
"Profar
										
										Jurickson Profar",26,"SS","Arb 3",NA,"$3,600,000","-","$3,600,000","$3,600,000",3.87,"3,600,000"
"Hendriks
										
										Liam Hendriks",30,"RP","Arb 3",NA,"$2,150,000","-","$2,150,000","$2,150,000",2.31,"2,150,000"
"Morales
										
										Kendrys Morales",36,"DH","Vet",NA,"$12,000,000","-","$12,000,000","$2,000,000",2.15,"11,000,000"
"Grossman
										
										Robbie Grossman",29,"DH","Arb 2",NA,"$2,000,000","-","$2,000,000","$2,000,000",2.15,"2,000,000"
"Anderson
										
										Brett Anderson",31,"SP","Vet",NA,"$1,500,000","-","$1,500,000","$1,500,000",1.61,"1,500,000"
"Buchter
										
										Ryan Buchter",32,"RP","Arb 1",2,"$1,400,000","-","$1,400,000","$1,400,000",1.51,"1,400,000"
"Hundley
										
										Nick Hundley",35,"C","Vet",NA,"$1,250,000","-","$1,250,000","$1,250,000",1.35,"1,250,000"
"Phegley
										
										Josh Phegley",31,"C","Arb 2",1,"$1,075,000","-","$1,075,000","$1,075,000",1.16,"1,075,000"
"Chapman
										
										Matt Chapman",26,"3B","Pre-Arb",3,"$580,000","-","$580,000","$580,000",0.62,"580,000"
"Pinder
										
										Chad Pinder",27,"LF","Pre-Arb",3,"$565,000","-","$565,000","$565,000",0.61,"565,000"
"Brooks
										
										Aaron Brooks",29,"SP","Pre-Arb",NA,"$560,000","-","$560,000","$560,000",0.6,"150,550"
"Montas
										
										Frankie Montas",26,"SP","Pre-Arb",1,"$560,000","-","$560,000","$560,000",0.6,"560,000"
"Bassitt
										
										Chris Bassitt",30,"SP","Pre-Arb",1,"$565,000","-","$565,000","$558,992",0.6,"558,992"
"Laureano
										
										Ramon Laureano",24,"OF","Pre-Arb",3,"$557,500","-","$557,500","$557,500",0.6,"557,500"
"Trivino
										
										Lou Trivino",27,"RP","Pre-Arb",3,"$557,500","-","$557,500","$557,500",0.6,"557,500"
"Wendelken
										
										J.B. Wendelken",26,"RP","Pre-Arb",2,"$557,500","-","$557,500","$557,500",0.6,"557,500"
"Bolt
										
										Skye Bolt",25,"CF","Pre-Arb",NA,"$555,000","-","$555,000","$447,600",0.48,"447,600"
