"Active.Players..45.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Lee
										
										Cliff Lee",33,"SP","Vet","$21,500,000","-","-","$21,500,000","$21,500,000",11.95,0
"Halladay
										
										Roy Halladay",35,"SP","Vet","$20,000,000","-","-","$20,000,000","$20,000,000",11.12,0
"Howard
										
										Ryan Howard",32,"1B","Vet","$20,000,000","-","-","$20,000,000","$20,000,000",11.12,0
"Utley
										
										Chase Utley",33,"2B","Vet","$15,000,000","$285,714","-","$15,285,714","$15,285,714",8.5,0
"Hamels
										
										Cole Hamels",28,"SP","Arb 3","$15,000,000","-","-","$15,000,000","$15,000,000",8.34,0
"Rollins
										
										Jimmy Rollins",33,"SS","Vet","$11,000,000","-","$50,000","$11,050,000","$11,050,000",6.14,0
"Papelbon
										
										Jonathan Papelbon",31,"RP","Vet","$11,000,058","-","-","$11,000,058","$11,000,058",6.11,0
"Blanton
										
										Joe Blanton",31,"RP","Vet","$8,500,000","$2,000,000","-","$10,500,000","$10,500,000",5.84,0
"Pence
										
										Hunter Pence",29,"LF","Arb 3","$10,400,000","-","-","$10,400,000","$10,400,000",5.78,0
"Polanco
										
										Placido Polanco",36,"3B","Vet","$6,250,000","$166,667","-","$6,416,667","$6,416,667",3.57,0
"Ruiz
										
										Carlos Ruiz",33,"C","Arb 3","$3,700,000","-","-","$3,700,000","$3,700,000",2.06,0
"Kendrick
										
										Kyle Kendrick",27,"SP","Arb 2","$3,000,000","-","$350,000","$3,350,000","$3,350,000",1.86,0
"Contreras
										
										Jose Contreras",40,"SP","Vet","$2,500,000","-","-","$2,500,000","$2,500,000",1.39,0
"Wigginton
										
										Ty Wigginton",34,"3B","Vet","$4,000,000","-","-","$4,000,000","$2,000,000",1.11,0
"Thome
										
										Jim Thome",41,"DH","Vet","$1,250,000","-","-","$1,250,000","$1,250,000",0.69,0
"Nix
										
										Laynce Nix",31,"RF","Vet","$1,150,000","-","-","$1,150,000","$1,150,000",0.64,0
"Pierre
										
										Juan Pierre",34,"LF","Vet","$800,000","-","-","$800,000","$800,000",0.44,0
"Schneider
										
										Brian Schneider",35,"C","Vet","$800,000","-","-","$800,000","$800,000",0.44,0
"Orr
										
										Pete Orr",33,"2B","Arb 1","$600,000","-","-","$600,000","$600,000",0.33,0
"Bastardo
										
										Antonio Bastardo",26,"RP","Pre-Arb","$505,000","-","-","$505,000","$505,000",0.28,0
"Herndon
										
										David Herndon",26,"RP","Pre-Arb","$495,000","-","-","$495,000","$495,000",0.28,0
"Mayberry Jr.
										
										John Mayberry Jr.",28,"RF","Pre-Arb","$495,000","-","-","$495,000","$495,000",0.28,0
"Worley
										
										Vance Worley",24,"RP","Pre-Arb","$495,000","-","-","$495,000","$495,000",0.28,0
"Martinez
										
										Michael Martinez",29,"2B","Pre-Arb","$486,500","-","-","$486,500","$486,500",0.27,0
"Stutes
										
										Michael Stutes",25,"RP","Pre-Arb","$485,000","-","-","$485,000","$485,000",0.27,0
"Aumont
										
										Phillippe Aumont",23,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Blanco
										
										Andres Blanco",28,"SS","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Brown
										
										Domonic Brown",24,"LF","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Brummett
										
										Tyson Brummett",27,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Cloyd
										
										Tyler Cloyd",25,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"De Fratus
										
										Justin De Fratus",24,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Diekman
										
										Jake Diekman",25,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Galvis
										
										Freddy Galvis",22,"SS","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Gillies
										
										Tyson Gillies",23,"LF","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Horst
										
										Jeremy Horst",26,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Kratz
										
										Erik Kratz",32,"C","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Lerud
										
										Steve Lerud",27,"C","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Ramirez
										
										Juan Ramirez",21,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Rosenberg
										
										B.J. Rosenberg",26,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Ruf
										
										Darin Ruf",25,"1B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Savery
										
										Joe Savery",26,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Schwimer
										
										Michael Schwimer",26,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Valdes
										
										Raul Valdes",34,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.27,0
"Schierholtz
										
										Nate Schierholtz",28,"RF","Arb 1","$1,300,000","-","-","$1,300,000","$461,748",0.26,0
"Frandsen
										
										Kevin Frandsen",30,"3B","Pre-Arb","$575,000","-","-","$575,000","$216,803",0.12,0
