"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Arrieta
										
										Jake Arrieta",33,"SP","Vet",NA,"$25,000,000","-","$25,000,000","$25,000,000",17.49,"25,000,000"
"Segura
										
										Jean Segura",29,"SS","Vet",NA,"$14,250,000","$600,000","$14,950,000","$14,950,000",10.46,"14,000,000"
"Harper
										
										Bryce Harper",26,"CF","Vet",NA,"$10,000,000","$1,538,462","$11,538,462","$11,538,462",8.07,"25,384,615"
"McCutchen
										
										Andrew McCutchen",32,"RF","Vet",NA,"$10,000,000","-","$10,000,000","$10,000,000",6.99,"16,666,667"
"Nicasio
										
										Juan Nicasio",32,"RP","Vet",NA,"$9,000,000","$250,000","$9,250,000","$9,250,000",6.47,"8,500,000"
"Hernandez
										
										Cesar Hernandez",29,"2B","Arb 3",NA,"$7,750,000","-","$7,750,000","$7,750,000",5.42,"7,750,000"
"Neshek
										
										Pat Neshek",38,"RP","Vet",NA,"$5,750,000","$2,000,000","$7,750,000","$7,750,000",5.42,"8,125,000"
"Realmuto
										
										J.T. Realmuto",28,"C","Arb 2",2,"$5,900,000","-","$5,900,000","$5,900,000",4.13,"5,900,000"
"Herrera
										
										Odubel Herrera",27,"CF","Pre-Arb",3,"$5,000,000","$350,000","$5,350,000","$5,350,000",3.74,"6,100,000"
"Franco
										
										Maikel Franco",26,"3B","Arb 2",2,"$5,200,000","-","$5,200,000","$5,200,000",3.64,"5,200,000"
"Nola
										
										Aaron Nola",26,"SP","Arb 1",3,"$4,000,000","$500,000","$4,500,000","$4,500,000",3.15,"11,250,000"
"Velasquez
										
										Vincent Velasquez",27,"RP","Arb 1",2,"$2,249,000","-","$2,249,000","$2,249,000",1.57,"2,249,000"
"Alvarez
										
										Jose Alvarez",30,"RP","Arb 2",NA,"$1,925,000","-","$1,925,000","$1,925,000",1.35,"1,925,000"
"Neris
										
										Hector Neris",30,"RP","Arb 1",1,"$1,800,000","-","$1,800,000","$1,800,000",1.26,"1,800,000"
"Morgan
										
										Adam Morgan",29,"RP","Arb 1",NA,"$1,100,000","-","$1,100,000","$1,100,000",0.77,"1,100,000"
"Eickhoff
										
										Jerad Eickhoff",28,"SP","Arb 1",2,"$975,000","-","$975,000","$875,414",0.61,"875,414"
"Eflin
										
										Zach Eflin",25,"SP","Pre-Arb",2,"$590,000","-","$590,000","$590,000",0.41,"590,000"
"Hoskins
										
										Rhys Hoskins",26,"LF","Pre-Arb",3,"$575,000","-","$575,000","$575,000",0.4,"575,000"
"Williams
										
										Nick Williams",25,"RF","Pre-Arb",2,"$575,000","-","$575,000","$575,000",0.4,"575,000"
"Knapp
										
										Andrew Knapp",27,"C","Pre-Arb",3,"$565,000","-","$565,000","$565,000",0.4,"565,000"
"Dominguez
										
										Seranthony Dominguez",24,"RP/CL","Pre-Arb",3,"$564,000","-","$564,000","$564,000",0.39,"564,000"
"Ramos
										
										Edubray Ramos",26,"RP","Pre-Arb",1,"$573,500","-","$573,500","$496,363",0.35,"496,363"
"Gosselin
										
										Philip Gosselin",30,"2B","Arb 2",1,"$555,000","-","$555,000","$495,344",0.35,"495,344"
"De Los Santos
										
										Enyel De Los Santos",23,"SP","Pre-Arb",3,"$555,000","-","$555,000","$474,456",0.33,"474,456"
"Rodriguez
										
										Sean Rodriguez",34,"2B","Vet",NA,"$555,000","-","$555,000","$474,456",0.33,"474,456"
