"Active.Players..31.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Martin
										
										Russell Martin",31,"C","Vet","$8,500,000","$1,000,000","-","$9,500,000","$9,500,000",12.34,0
"McCutchen
										
										Andrew McCutchen",27,"RF","Arb 2","$7,250,000","$208,333","$75,000","$7,533,333","$7,533,333",9.79,0
"Rodriguez
										
										Wandy Rodriguez",35,"RP","Vet","$7,500,000","-","-","$7,500,000","$7,500,000",9.74,0
"Liriano
										
										Francisco Liriano",30,"RP","Vet","$6,000,000","-","-","$6,000,000","$6,000,000",7.79,0
"Walker
										
										Neil Walker",28,"2B","Arb 1","$5,750,000","-","-","$5,750,000","$5,750,000",7.47,0
"Volquez
										
										Edinson Volquez",30,"SP","Vet","$5,000,000","-","-","$5,000,000","$5,000,000",6.5,0
"Alvarez
										
										Pedro Alvarez",27,"1B","Arb 1","$4,250,000","-","-","$4,250,000","$4,250,000",5.52,0
"Morton
										
										Charlie Morton",30,"SP","Arb 3","$4,000,000","-","-","$4,000,000","$4,000,000",5.2,0
"Davis
										
										Ike Davis",27,"1B","Arb 2","$3,500,000","-","-","$3,500,000","$3,136,612",4.07,0
"Melancon
										
										Mark Melancon",29,"RP/CL","Arb 1","$2,595,000","-","-","$2,595,000","$2,595,000",3.37,0
"Sanchez
										
										Gaby Sanchez",30,"1B","Arb 2","$2,300,000","-","-","$2,300,000","$2,300,000",2.99,0
"Barmes
										
										Clint Barmes",35,"SS","Vet","$2,000,000","-","-","$2,000,000","$2,000,000",2.6,0
"Snider
										
										Travis Snider",26,"RF","Arb 1","$1,200,000","-","-","$1,200,000","$1,200,000",1.56,0
"Axford
										
										John Axford",31,"RP","Arb 1","$4,500,000","-","-","$4,500,000","$1,131,147",1.47,0
"Stewart
										
										Chris Stewart",32,"C","Arb 1","$1,000,000","-","-","$1,000,000","$1,000,000",1.3,0
"Marte
										
										Starling Marte",25,"CF","Pre-Arb","$500,000","$333,333","-","$833,333","$833,333",1.08,0
"Watson
										
										Tony Watson",29,"RP","Pre-Arb","$518,500","-","-","$518,500","$518,500",0.67,0
"Mercer
										
										Jordy Mercer",27,"SS","Pre-Arb","$515,500","-","-","$515,500","$515,500",0.67,0
"Wilson
										
										Justin Wilson",26,"RP","Pre-Arb","$515,500","-","-","$515,500","$515,500",0.67,0
"Gomez
										
										Jeanmar Gomez",26,"RP","Pre-Arb","$514,500","-","-","$514,500","$514,500",0.67,0
"Harrison
										
										Josh Harrison",26,"2B","Pre-Arb","$513,000","-","-","$513,000","$513,000",0.67,0
"Cole
										
										Gerrit Cole",23,"SP","Pre-Arb","$512,500","-","-","$512,500","$512,500",0.67,0
"Hughes
										
										Jared Hughes",28,"RP","Pre-Arb","$500,000","-","-","$500,000","$418,032",0.54,0
"Worley
										
										Vance Worley",26,"RP","Pre-Arb","$527,500","-","-","$527,500","$305,546",0.4,0
"Polanco
										
										Gregory Polanco",22,"LF","Pre-Arb","$500,000","-","-","$500,000","$278,688",0.36,0
"Locke
										
										Jeff Locke",26,"RP","Pre-Arb","$513,000","-","-","$513,000","$260,704",0.34,0
"Cumpton
										
										Brandon Cumpton",25,"RP","Pre-Arb","$507,000","-","-","$507,000","$254,885",0.33,0
"Sanchez
										
										Tony Sanchez",26,"C","Pre-Arb","$507,000","-","-","$507,000","$213,327",0.28,0
"Sadler
										
										Casey Sadler",23,"RP","Pre-Arb","$500,000","-","-","$500,000","$125,683",0.16,0
"Morel
										
										Brent Morel",27,"3B","Arb 1","$500,000","-","-","$500,000","$122,950",0.16,0
"Lambo
										
										Andrew Lambo",25,"RF","Pre-Arb","$500,000","-","-","$500,000","$84,699",0.11,0
