"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Cervelli
										
										Francisco Cervelli",33,"C","Vet",NA,"$11,500,000","-","$11,500,000","$11,500,000",14.98,"10,333,333"
"Marte
										
										Starling Marte",30,"CF","Pre-Arb",NA,"$10,000,000","$333,334","$10,333,334","$10,333,334",13.46,"5,166,667"
"Polanco
										
										Gregory Polanco",27,"RF","Pre-Arb",2,"$5,500,000","$600,000","$6,100,000","$6,100,000",7.95,"7,000,000"
"Vazquez
										
										Felipe Vazquez",27,"RP/CL","Arb 2",NA,"$4,000,000","$500,000","$4,500,000","$4,500,000",5.86,"5,500,000"
"Kela
										
										Keone Kela",26,"RP","Arb 2",3,"$3,175,000","-","$3,175,000","$3,175,000",4.14,"3,175,000"
"Kang
										
										Jung Ho Kang",32,"3B","Pre-Arb",3,"$3,000,000","-","$3,000,000","$3,000,000",3.91,"3,000,000"
"Lyles
										
										Jordan Lyles",28,"SP","Vet",NA,"$2,050,000","-","$2,050,000","$2,050,000",2.67,"2,050,000"
"Liriano
										
										Francisco Liriano",35,"RP","Vet",NA,"$1,800,000","-","$1,800,000","$1,800,000",2.35,"1,800,000"
"Cabrera
										
										Melky Cabrera",34,"LF","Vet",NA,"$1,150,000","-","$1,150,000","$1,150,000",1.5,"1,150,000"
"Feliz
										
										Michael Feliz",26,"RP","Arb 1",2,"$850,000","-","$850,000","$712,920",0.93,"712,920"
"Rodriguez
										
										Richard Rodriguez",29,"RP","Pre-Arb",3,"$650,000","-","$650,000","$650,000",0.85,"650,000"
"Bell
										
										Josh Bell",26,"1B","Pre-Arb",2,"$587,000","-","$587,000","$587,000",0.76,"587,000"
"Frazier
										
										Adam Frazier",27,"2B","Pre-Arb",3,"$584,000","-","$584,000","$584,000",0.76,"584,000"
"Williams
										
										Trevor Williams",27,"SP","Pre-Arb",3,"$584,000","-","$584,000","$584,000",0.76,"584,000"
"Musgrove
										
										Joe Musgrove",26,"SP","Pre-Arb",2,"$582,500","-","$582,500","$582,500",0.76,"582,500"
"Crick
										
										Kyle Crick",26,"RP","Pre-Arb",1,"$581,500","-","$581,500","$581,500",0.76,"581,500"
"Moran
										
										Colin Moran",26,"3B","Pre-Arb",1,"$579,500","-","$579,500","$579,500",0.76,"579,500"
"Diaz
										
										Elias Diaz",28,"C","Pre-Arb",NA,"$578,500","-","$578,500","$578,500",0.75,"578,500"
"Brault
										
										Steven Brault",27,"RP","Pre-Arb",1,"$574,500","-","$574,500","$571,465",0.74,"571,465"
"Kingham
										
										Nick Kingham",26,"RP","Pre-Arb",1,"$569,000","-","$569,000","$569,000",0.74,"569,000"
"Newman
										
										Kevin Newman",25,"SS","Pre-Arb",3,"$557,500","-","$557,500","$557,500",0.73,"557,500"
"Neverauskas
										
										Dovydas Neverauskas",26,"RP","Pre-Arb",2,"$569,000","-","$569,000","$513,912",0.67,"513,912"
"Reynolds
										
										Bryan Reynolds",24,"OF","Pre-Arb",NA,"$555,000","-","$555,000","$486,392",0.63,"486,392"
"Tucker
										
										Cole Tucker",22,"SS","Pre-Arb",NA,"$555,000","-","$555,000","$486,392",0.63,"486,392"
"Lyons
										
										Tyler Lyons",31,"RP","Arb 2",NA,"$555,000","-","$555,000","$444,616",0.58,"444,616"
