"Active.Players..32.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Myers
										
										Wil Myers",26,"1B","Arb 1","$2,000,000","$2,500,000","-","$4,500,000","$4,500,000",5.78,"13,833,333"
"Richard
										
										Clayton Richard",33,"SP","Vet","$1,750,000","-","$1,000,000","$2,750,000","$2,750,000",3.53,"3,000,000"
"Solarte
										
										Yangervis Solarte",29,"3B","Arb 1","$2,500,000","$125,000","-","$2,625,000","$2,625,000",3.37,"3,750,000"
"Aybar
										
										Erick Aybar",33,"SS","Vet","$1,750,000","-","-","$1,750,000","$1,750,000",2.25,"1,750,000"
"Chacin
										
										Jhoulys Chacin",29,"SP","Vet","$1,750,000","-","-","$1,750,000","$1,750,000",2.25,"1,750,000"
"Hand
										
										Brad Hand",27,"RP","Arb 1","$1,375,000","-","-","$1,375,000","$1,375,000",1.76,"1,375,000"
"Stammen
										
										Craig Stammen",33,"RP","Vet","$900,000","-","-","$900,000","$900,000",1.16,"900,000"
"Sanchez
										
										Hector Sanchez",27,"C","Arb 3","$750,000","-","-","$750,000","$750,000",0.96,"750,000"
"Perdomo
										
										Luis Perdomo",24,"SP","Pre-Arb","$544,300","-","-","$544,300","$544,300",0.7,"544,300"
"Hedges
										
										Austin Hedges",24,"C","Pre-Arb","$537,100","-","-","$537,100","$537,100",0.69,"537,100"
"Margot
										
										Manuel Margot",22,"CF","Pre-Arb","$535,600","-","-","$535,600","$535,600",0.69,"535,600"
"Torres
										
										Jose Torres",33,"RP","Pre-Arb","$535,400","-","-","$535,400","$535,400",0.69,"535,400"
"Cordoba
										
										Allen Cordoba",21,"SS","Pre-Arb","$535,000","-","-","$535,000","$535,000",0.69,"535,000"
"Diaz
										
										Miguel Diaz",22,"P","Pre-Arb","$535,000","-","-","$535,000","$535,000",0.69,"535,000"
"Torrens
										
										Luis Torrens",21,"C","Pre-Arb","$535,000","-","-","$535,000","$535,000",0.69,"535,000"
"Baumann
										
										Buddy Baumann",29,"RP","Pre-Arb","$535,700","-","-","$535,700","$503,444",0.65,"535,700"
"Spangenberg
										
										Cory Spangenberg",26,"2B","Pre-Arb","$545,000","-","-","$545,000","$476,480",0.61,"545,000"
"Yates
										
										Kirby Yates",30,"RP","Pre-Arb","$535,000","-","-","$535,000","$464,757",0.6,"535,000"
"Renfroe
										
										Hunter Renfroe",25,"RF","Pre-Arb","$535,900","-","-","$535,900","$445,056",0.57,"535,900"
"Szczur
										
										Matt Szczur",27,"CF","Pre-Arb","$549,500","-","-","$549,500","$441,441",0.57,"549,500"
"Jankowski
										
										Travis Jankowski",26,"CF","Pre-Arb","$544,300","-","-","$544,300","$407,438",0.52,"544,300"
"Lamet
										
										Dinelson Lamet",24,"SP","Pre-Arb","$535,000","-","-","$535,000","$379,990",0.49,"535,000"
"Pirela
										
										Jose Pirela",27,"LF","Pre-Arb","$535,000","-","-","$535,000","$344,914",0.44,"535,000"
"Maton
										
										Phil Maton",24,"RP","Pre-Arb","$535,000","-","-","$535,000","$330,299",0.42,"535,000"
"Asuaje
										
										Carlos Asuaje",25,"2B","Pre-Arb","$535,000","-","-","$535,000","$301,069",0.39,"535,000"
"Blash
										
										Jabari Blash",27,"LF","Pre-Arb","$535,000","-","-","$535,000","$236,763",0.3,"535,000"
"McGrath
										
										Kyle McGrath",24,"RP","Pre-Arb","$535,000","-","-","$535,000","$166,611",0.21,"535,000"
"Lyles
										
										Jordan Lyles",26,"SP","Arb 3","$535,000","-","-","$535,000","$90,613",0.12,"535,000"
"Mazzoni
										
										Cory Mazzoni",27,"RP","Pre-Arb","$535,000","-","-","$535,000","$61,383",0.08,"535,000"
"Gale
										
										Rocky Gale",29,"C","Pre-Arb","$535,000","-","-","$535,000","$40,922",0.05,"535,000"
"Melville
										
										Tim Melville",27,"RP","Pre-Arb","$535,000","-","-","$535,000","$40,922",0.05,"535,000"
"Villanueva
										
										Christian Villanueva",26,"3B","Pre-Arb","$535,000","-","-","$535,000","$40,922",0.05,"535,000"
