"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Posey
										
										Buster Posey",32,"C","Vet",NA,"$21,400,000","$777,777","$22,177,777","$22,177,777",12.31,"18,555,556"
"Samardzija
										
										Jeff Samardzija",34,"SP","Vet",NA,"$18,000,000","$1,800,000","$19,800,000","$19,800,000",10.99,"18,000,000"
"Melancon
										
										Mark Melancon",34,"RP","Vet",NA,"$14,000,000","$5,000,000","$19,000,000","$19,000,000",10.54,"15,500,000"
"Belt
										
										Brandon Belt",31,"1B","Vet",NA,"$16,000,000","$1,200,000","$17,200,000","$17,200,000",9.54,"14,560,000"
"Crawford
										
										Brandon Crawford",32,"SS","Vet",NA,"$15,000,000","$200,000","$15,200,000","$15,200,000",8.43,"12,500,000"
"Longoria
										
										Evan Longoria",33,"3B","Vet",NA,"$14,500,000","-","$14,500,000","$12,500,000",6.94,"11,165,300"
"Bumgarner
										
										Madison Bumgarner",29,"SP","Vet",NA,"$12,000,000","-","$12,000,000","$12,000,000",6.66,"12,000,000"
"Pillar
										
										Kevin Pillar",30,"CF","Arb 2",2,"$5,800,000","-","$5,800,000","$5,644,085",3.13,"5,644,085"
"Dyson
										
										Sam Dyson",31,"RP","Arb 3",NA,"$5,000,000","-","$5,000,000","$5,000,000",2.77,"5,000,000"
"Smith
										
										Will Smith",29,"RP/CL","Arb 4",1,"$4,225,000","-","$4,225,000","$4,225,000",2.34,"4,225,000"
"Panik
										
										Joe Panik",28,"2B","Arb 2",3,"$3,850,000","-","$3,850,000","$3,850,000",2.14,"3,850,000"
"Watson
										
										Tony Watson",34,"RP","Vet",NA,"$3,500,000","-","$3,500,000","$3,500,000",1.94,"3,000,000"
"Solarte
										
										Yangervis Solarte",31,"3B","Arb 3",3,"$1,750,000","-","$1,750,000","$1,750,000",0.97,"1,750,000"
"Pomeranz
										
										Drew Pomeranz",30,"SP","Vet",NA,"$1,500,000","-","$1,500,000","$1,500,000",0.83,"1,500,000"
"Gott
										
										Trevor Gott",26,"RP","Pre-Arb",1,"$567,500","-","$567,500","$567,500",0.31,"567,500"
"Moronta
										
										Reyes Moronta",26,"RP","Pre-Arb",2,"$567,500","-","$567,500","$567,500",0.31,"567,500"
"Rodriguez
										
										Dereck Rodriguez",27,"SP","Pre-Arb",3,"$561,250","-","$561,250","$561,250",0.31,"561,250"
"Duggar
										
										Steven Duggar",25,"CF","Pre-Arb",3,"$558,125","-","$558,125","$558,125",0.31,"558,125"
"Bergen
										
										Travis Bergen",25,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.31,"555,000"
"Sandoval
										
										Pablo Sandoval",32,"3B","Vet",NA,"$555,000","-","$555,000","$555,000",0.31,"555,000"
"Vincent
										
										Nick Vincent",32,"RP","Arb 3",NA,"$555,000","-","$555,000","$555,000",0.31,"555,000"
"Austin
										
										Tyler Austin",27,"1B","Pre-Arb",1,"$568,600","-","$568,600","$531,918",0.3,"531,918"
"Venditte
										
										Pat Venditte",34,"RP","Pre-Arb",2,"$585,000","-","$585,000","$468,605",0.26,"468,605"
"Vogt
										
										Stephen Vogt",34,"C","Arb 3",NA,"$555,000","-","$555,000","$453,568",0.25,"453,568"
"Gerber
										
										Mike Gerber",26,"OF","Pre-Arb",3,"$555,000","-","$555,000","$447,600",0.25,"447,600"
