"Active.Players..39.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Cano
										
										Robinson Cano",31,"2B","Vet","$24,000,000","-","$50,000","$24,050,000","$24,050,000",22.47,0
"Hernandez
										
										Felix Hernandez",28,"SP","Vet","$22,000,000","$1,557,142","$50,000","$23,607,142","$23,607,142",22.06,0
"Rodney
										
										Fernando Rodney",37,"RP/CL","Vet","$7,000,000","-","$50,000","$7,050,000","$7,050,000",6.59,0
"Iwakuma
										
										Hisashi Iwakuma",33,"SP","Pre-Arb","$6,500,000","-","-","$6,500,000","$6,500,000",6.07,0
"Hart
										
										Corey Hart",32,"RF","Vet","$6,000,000","-","-","$6,000,000","$6,000,000",5.61,0
"Young
										
										Chris Young",35,"RP","Vet","$1,500,000","-","$3,225,000","$4,725,000","$4,725,000",4.41,0
"Morales
										
										Kendrys Morales",31,"DH","Vet","$12,000,000","-","-","$12,000,000","$4,393,442",4.1,0
"Smoak
										
										Justin Smoak",27,"1B","Arb 1","$2,637,500","-","-","$2,637,500","$2,637,500",2.46,0
"Saunders
										
										Michael Saunders",27,"LF","Arb 1","$2,300,000","-","-","$2,300,000","$2,300,000",2.15,0
"Jackson
										
										Austin Jackson",27,"CF","Arb 2","$6,000,000","-","-","$6,000,000","$1,967,213",1.84,0
"Morrison
										
										Logan Morrison",26,"DH","Arb 1","$1,750,000","-","-","$1,750,000","$1,750,000",1.63,0
"Ackley
										
										Dustin Ackley",26,"2B","Pre-Arb","$500,000","$1,200,000","-","$1,700,000","$1,700,000",1.59,0
"Beimel
										
										Joe Beimel",37,"RP","Vet","$850,000","-","-","$850,000","$850,000",0.79,0
"Furbush
										
										Charlie Furbush",28,"RP","Pre-Arb","$750,000","-","-","$750,000","$750,000",0.7,0
"Denorfia
										
										Chris Denorfia",33,"RF","Vet","$2,250,000","-","-","$2,250,000","$737,704",0.69,0
"Seager
										
										Kyle Seager",26,"3B","Pre-Arb","$540,100","-","-","$540,100","$540,100",0.5,0
"Wilhelmsen
										
										Tom Wilhelmsen",30,"RP","Pre-Arb","$528,800","-","-","$528,800","$528,800",0.49,0
"Medina
										
										Yoervis Medina",25,"RP","Pre-Arb","$512,600","-","-","$512,600","$512,600",0.48,0
"Farquhar
										
										Danny Farquhar",27,"RP","Pre-Arb","$510,800","-","-","$510,800","$510,800",0.48,0
"Miller
										
										Brad Miller",24,"SS","Pre-Arb","$510,100","-","-","$510,100","$510,100",0.48,0
"Zunino
										
										Mike Zunino",23,"C","Pre-Arb","$504,100","-","-","$504,100","$504,100",0.47,0
"Bawcom
										
										Logan Bawcom",25,"SP","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.47,0
"Choi
										
										Ji-Man Choi",23,"1B","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.47,0
"Fernandez
										
										Anthony Fernandez",24,"SP","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.47,0
"Morban
										
										Julio Morban",22,"LF","Pre-Arb","$500,000","-","-","$500,000","$500,000",0.47,0
"Leone
										
										Dominic Leone",22,"RP/CL","Pre-Arb","$500,000","-","-","$500,000","$486,338",0.45,0
"Elias
										
										Roenis Elias",25,"RP","Pre-Arb","$500,000","-","-","$500,000","$475,409",0.44,0
"Maurer
										
										Brandon Maurer",23,"RP","Pre-Arb","$504,600","-","-","$504,600","$375,003",0.35,0
"Romero
										
										Stefen Romero",25,"LF","Pre-Arb","$500,000","-","-","$500,000","$374,316",0.35,0
"Jones
										
										James Jones",25,"SP","Pre-Arb","$500,000","-","-","$500,000","$352,459",0.33,0
"Chavez
										
										Endy Chavez",36,"LF","Vet","$500,000","-","-","$500,000","$333,333",0.31,0
"Walker
										
										Taijuan Walker",21,"SP","Pre-Arb","$502,400","-","-","$502,400","$304,734",0.28,0
"Beavan
										
										Blake Beavan",25,"RP","Pre-Arb","$518,700","-","-","$518,700","$280,608",0.26,0
"Sucre
										
										Jesus Sucre",26,"C","Pre-Arb","$500,000","-","-","$500,000","$226,775",0.21,0
"Ramirez
										
										Erasmo Ramirez",24,"SP","Pre-Arb","$511,800","-","-","$511,800","$220,940",0.21,0
"Taylor
										
										Chris Taylor",23,"LF","Pre-Arb","$500,000","-","-","$500,000","$183,060",0.17,0
"Luetge
										
										Lucas Luetge",27,"RP","Pre-Arb","$508,800","-","-","$508,800","$141,796",0.13,0
"Smith
										
										Carson Smith",24,"RP","Pre-Arb","$500,000","-","-","$500,000","$76,502",0.07,0
"Paxton
										
										James Paxton",25,"SP","Pre-Arb","$503,500","-","-","$503,500","$74,286",0.07,0
