"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Hernandez
										
										Felix Hernandez",33,"SP","Vet",NA,"$27,000,000","$857,142","$27,857,142","$27,857,142",18.46,"25,000,000"
"Encarnacion
										
										Edwin Encarnacion",36,"DH","Vet",NA,"$20,000,000","$1,666,668","$21,666,668","$16,166,668",10.71,"17,000,000"
"Bruce
										
										Jay Bruce",32,"RF","Vet",NA,"$13,000,000","$1,000,000","$14,000,000","$14,000,000",9.28,"13,000,000"
"Gordon
										
										Dee Gordon",31,"2B","Vet",NA,"$13,000,000","$300,000","$13,300,000","$13,300,000",8.81,"10,000,000"
"Leake
										
										Mike Leake",31,"SP","Vet",NA,"$16,000,000","-","$16,000,000","$11,000,000",7.29,"11,000,000"
"Kikuchi
										
										Yusei Kikuchi",28,"SP","Pre-Arb",NA,"$8,000,000","$1,500,000","$9,500,000","$9,500,000",6.29,"14,000,000"
"Swarzak
										
										Anthony Swarzak",33,"RP","Vet",NA,"$8,000,000","$500,000","$8,500,000","$8,500,000",5.63,"7,000,000"
"Santana
										
										Domingo Santana",26,"RF","Arb 1",1,"$1,950,000","-","$1,950,000","$1,950,000",1.29,"1,950,000"
"Beckham
										
										Tim Beckham",29,"3B","Arb 3",NA,"$1,750,000","-","$1,750,000","$1,750,000",1.16,"1,750,000"
"Gearrin
										
										Cory Gearrin",33,"RP","Arb 4",NA,"$1,400,000","-","$1,400,000","$1,400,000",0.93,"1,400,000"
"Elias
										
										Roenis Elias",30,"RP","Arb 1",1,"$910,000","-","$910,000","$910,000",0.6,"910,000"
"Gonzales
										
										Marco Gonzales",27,"SP","Pre-Arb",NA,"$900,000","-","$900,000","$900,000",0.6,"900,000"
"Rosscup
										
										Zac Rosscup",31,"RP","Arb 2",NA,"$610,000","-","$610,000","$610,000",0.4,"610,000"
"Haniger
										
										Mitch Haniger",28,"RF","Pre-Arb",3,"$590,100","-","$590,100","$590,100",0.39,"590,100"
"Narvaez
										
										Omar Narvaez",27,"C","Pre-Arb",3,"$581,200","-","$581,200","$581,200",0.39,"581,200"
"Healy
										
										Ryon Healy",27,"1B","Pre-Arb",3,"$579,800","-","$579,800","$579,800",0.38,"579,800"
"Brennan
										
										Brandon Brennan",27,"RP","Pre-Arb",NA,"$575,000","-","$575,000","$575,000",0.38,"575,000"
"Moore
										
										Dylan Moore",26,"SS","Pre-Arb",NA,"$565,000","-","$565,000","$565,000",0.37,"565,000"
"Bradford
										
										Chasen Bradford",29,"RP","Pre-Arb",3,"$562,300","-","$562,300","$562,300",0.37,"562,300"
"Vogelbach
										
										Dan Vogelbach",26,"1B","Pre-Arb",1,"$558,600","-","$558,600","$558,600",0.37,"558,600"
"Murphy
										
										Tom Murphy",28,"C","Pre-Arb",NA,"$557,500","-","$557,500","$554,445",0.37,"554,445"
"Sadzeck
										
										Connor Sadzeck",27,"RP","Pre-Arb",1,"$556,000","-","$556,000","$538,020",0.36,"538,020"
"Swanson
										
										Erik Swanson",25,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$513,248",0.34,"513,248"
"Wright
										
										Mike Wright",29,"SP","Pre-Arb",NA,"$567,500","-","$567,500","$479,007",0.32,"479,007"
"Bishop
										
										Braden Bishop",25,"CF","Pre-Arb",NA,"$555,000","-","$555,000","$456,552",0.3,"456,552"
