"Active.Players..37.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Wainwright
										
										Adam Wainwright",35,"SP","Vet","$19,500,000","-","-","$19,500,000","$19,500,000",13.42,"19,500,000"
"Fowler
										
										Dexter Fowler",31,"CF","Vet","$14,500,000","$2,000,000","-","$16,500,000","$16,500,000",11.36,"16,500,000"
"Molina
										
										Yadier Molina",34,"C","Vet","$14,000,000","$200,000","-","$14,200,000","$14,200,000",9.78,"20,000,000"
"Carpenter
										
										Matt Carpenter",31,"3B","Arb 3","$9,750,000","$250,000","-","$10,000,000","$10,000,000",6.88,"8,666,667"
"Lynn
										
										Lance Lynn",30,"SP","Arb 3","$7,500,000","-","$1,000,000","$8,500,000","$8,500,000",5.85,"7,833,333"
"Cecil
										
										Brett Cecil",30,"RP","Vet","$7,500,000","$250,000","-","$7,750,000","$7,750,000",5.34,"7,625,000"
"Duke
										
										Zach Duke",34,"RP","Vet","$5,500,000","-","-","$5,500,000","$5,500,000",3.79,"5,000,000"
"Gyorko
										
										Jedd Gyorko",28,"SS","Arb 2","$6,000,000","-","-","$6,000,000","$4,000,000",2.75,"6,200,000"
"Martinez
										
										Carlos Martinez",25,"SP","Arb 1","$3,500,000","$200,000","-","$3,700,000","$3,700,000",2.55,"10,200,000"
"Wacha
										
										Michael Wacha",26,"SP","Arb 1","$2,775,000","-","-","$2,775,000","$2,775,000",1.91,"2,775,000"
"Oh
										
										Seung-Hwan Oh",34,"RP","Pre-Arb","$2,750,000","-","-","$2,750,000","$2,750,000",1.89,"2,500,000"
"Wong
										
										Kolten Wong",26,"2B","Arb 1","$2,500,000","-","-","$2,500,000","$2,500,000",1.72,"5,100,000"
"Diaz
										
										Aledmys Diaz",26,"SS","Pre-Arb","$2,000,000","$500,000","-","$2,500,000","$2,500,000",1.72,"2,000,000"
"Piscotty
										
										Stephen Piscotty",26,"RF","Pre-Arb","$1,000,000","$333,333","-","$1,333,333","$1,333,333",0.92,"5,583,333"
"Lyons
										
										Tyler Lyons",29,"RP","Pre-Arb","$549,800","-","-","$549,800","$549,800",0.38,"549,800"
"Garcia
										
										Greg Garcia",27,"2B","Pre-Arb","$547,900","-","-","$547,900","$547,900",0.38,"547,900"
"Bowman
										
										Matthew Bowman",26,"RP","Pre-Arb","$546,600","-","-","$546,600","$546,600",0.38,"546,600"
"Martinez
										
										Jose Martinez",28,"LF","Pre-Arb","$535,000","-","-","$535,000","$535,000",0.37,"535,000"
"Nicasio
										
										Juan Nicasio",30,"RP","Arb 3","$3,650,000","-","-","$3,650,000","$518,570",0.36,"3,650,000"
"Grichuk
										
										Randal Grichuk",25,"RF","Pre-Arb","$557,200","-","-","$557,200","$475,020",0.33,"557,200"
"Pham
										
										Tommy Pham",29,"LF","Pre-Arb","$535,000","-","-","$535,000","$438,450",0.3,"535,000"
"Brebbia
										
										John Brebbia",27,"RP","Pre-Arb","$535,000","-","-","$535,000","$374,144",0.26,"535,000"
"Tuivailala
										
										Sam Tuivailala",24,"RP","Pre-Arb","$536,500","-","-","$536,500","$366,500",0.25,"536,500"
"DeJong
										
										Paul DeJong",23,"3B","Pre-Arb","$535,000","-","-","$535,000","$359,529",0.25,"535,000"
"Voit
										
										Luke Voit",26,"1B","Pre-Arb","$535,000","-","-","$535,000","$271,839",0.19,"535,000"
"Gant
										
										John Gant",24,"SP","Pre-Arb","$536,600","-","-","$536,600","$245,532",0.17,"536,600"
"Kelly
										
										Carson Kelly",22,"C","Pre-Arb","$535,000","-","-","$535,000","$213,379",0.15,"535,000"
"Weaver
										
										Luke Weaver",23,"SP","Pre-Arb","$535,000","-","-","$535,000","$175,380",0.12,"535,000"
"Mejia
										
										Alex Mejia",26,"SS","Pre-Arb","$535,000","-","-","$535,000","$125,689",0.09,"535,000"
"Sherriff
										
										Ryan Sherriff",27,"RP","Pre-Arb","$535,000","-","-","$535,000","$116,920",0.08,"535,000"
"Sierra
										
										Magneuris Sierra",21,"OF","Pre-Arb","$535,000","-","-","$535,000","$111,074",0.08,"535,000"
"Bader
										
										Harrison Bader",23,"OF","Pre-Arb","$535,000","-","-","$535,000","$108,151",0.07,"535,000"
"Alcantara
										
										Sandy Alcantara",21,"P","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.06,"535,000"
"Flaherty
										
										Jack Flaherty",21,"SP","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.06,"535,000"
"Rosario
										
										Alberto Rosario",30,"C","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.06,"535,000"
"Valera
										
										Breyvic Valera",25,"2B","Pre-Arb","$535,000","-","-","$535,000","$52,614",0.04,"535,000"
"Lucas
										
										Josh Lucas",26,"RP","Pre-Arb","$535,000","-","-","$535,000","$49,691",0.03,"535,000"
