"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Molina
										
										Yadier Molina",36,"C","Vet",NA,"$20,000,000","-","$20,000,000","$20,000,000",12.31,"20,000,000"
"Fowler
										
										Dexter Fowler",33,"CF","Vet",NA,"$14,500,000","$2,000,000","$16,500,000","$16,500,000",10.15,"16,500,000"
"Goldschmidt
										
										Paul Goldschmidt",31,"1B","Vet",NA,"$14,500,000","-","$15,500,000","$15,500,000",9.54,"14,500,000"
"Carpenter
										
										Matt Carpenter",33,"1B","Vet",NA,"$14,500,000","$250,000","$14,750,000","$14,750,000",9.08,"19,500,000"
"Ozuna
										
										Marcell Ozuna",28,"LF","Arb 3",1,"$12,250,000","-","$12,250,000","$12,250,000",7.54,"12,250,000"
"Miller
										
										Andrew Miller",34,"RP","Vet",NA,"$11,000,000","-","$11,000,000","$11,000,000",6.77,"12,500,000"
"Mikolas
										
										Miles Mikolas",30,"SP","Pre-Arb",NA,"$7,750,000","$1,000,000","$8,750,000","$8,750,000",5.38,"7,750,000"
"Gyorko
										
										Jedd Gyorko",30,"3B","Vet",2,"$13,000,000","-","$13,000,000","$8,000,000",4.92,"5,918,483"
"Wong
										
										Kolten Wong",28,"2B","Arb 3",3,"$6,500,000","-","$6,500,000","$6,500,000",4,"5,100,000"
"Wacha
										
										Michael Wacha",28,"SP","Arb 3",2,"$6,350,000","-","$6,350,000","$6,350,000",3.91,"6,350,000"
"Gregerson
										
										Luke Gregerson",35,"RP","Vet",NA,"$5,000,000","-","$5,000,000","$5,000,000",3.08,"5,500,000"
"Wainwright
										
										Adam Wainwright",37,"SP","Vet",NA,"$2,000,000","-","$2,000,000","$2,000,000",1.23,"2,000,000"
"DeJong
										
										Paul DeJong",25,"SS","Pre-Arb",3,"$1,500,000","$166,666","$1,666,666","$1,666,666",1.03,"4,333,333"
"Wieters
										
										Matt Wieters",33,"C","Vet",NA,"$1,500,000","-","$1,500,000","$1,500,000",0.92,"1,500,000"
"Leone
										
										Dominic Leone",27,"RP","Arb 2",1,"$1,260,000","-","$1,260,000","$1,260,000",0.78,"1,260,000"
"Martinez
										
										Jose Martinez",30,"1B","Pre-Arb",2,"$1,000,000","$125,000","$1,125,000","$1,125,000",0.69,"1,625,000"
"Bader
										
										Harrison Bader",25,"RF","Pre-Arb",2,"$578,300","-","$578,300","$578,300",0.36,"578,300"
"Gant
										
										John Gant",26,"RP","Pre-Arb",1,"$571,300","-","$571,300","$571,300",0.35,"571,300"
"Brebbia
										
										John Brebbia",29,"RP","Pre-Arb",3,"$569,300","-","$569,300","$569,300",0.35,"569,300"
"Flaherty
										
										Jack Flaherty",23,"SP","Pre-Arb",3,"$562,100","-","$562,100","$562,100",0.35,"562,100"
"Hudson
										
										Dakota Hudson",24,"SP","Pre-Arb",3,"$559,100","-","$559,100","$559,100",0.34,"559,100"
"Hicks
										
										Jordan Hicks",22,"RP/CL","Pre-Arb",3,"$555,000","-","$555,000","$555,000",0.34,"575,000"
"Munoz
										
										Yairo Munoz",24,"SS","Pre-Arb",2,"$562,000","-","$562,000","$540,938",0.33,"540,938"
"Webb
										
										Tyler Webb",28,"RP","Pre-Arb",2,"$555,000","-","$555,000","$525,184",0.32,"525,184"
"Gallegos
										
										Giovanny Gallegos",27,"RP","Pre-Arb",2,"$555,000","-","$555,000","$522,200",0.32,"522,200"
