"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Morton
										
										Charlie Morton",35,"SP","Vet",NA,"$15,000,000","-","$15,000,000","$15,000,000",24.4,"15,000,000"
"Kiermaier
										
										Kevin Kiermaier",29,"CF","Arb 3",2,"$8,000,000","$166,666","$8,166,666","$8,166,666",13.29,"8,916,667"
"Zunino
										
										Mike Zunino",28,"C","Arb 3",1,"$4,412,500","-","$4,412,500","$4,412,500",7.18,"4,412,500"
"Pham
										
										Tommy Pham",31,"CF","Arb 1",NA,"$4,100,000","-","$4,100,000","$4,100,000",6.67,"4,100,000"
"Garcia
										
										Avisail Garcia",28,"RF","Arb 4",1,"$3,500,000","-","$3,500,000","$3,500,000",5.69,"3,500,000"
"Snell
										
										Blake Snell",26,"SP","Pre-Arb",1,"$1,000,000","$600,000","$1,600,000","$1,600,000",2.6,"10,000,000"
"Roe
										
										Chaz Roe",32,"RP","Arb 1",NA,"$1,275,000","-","$1,275,000","$1,275,000",2.07,"1,275,000"
"Lowe
										
										Brandon Lowe",24,"2B","Pre-Arb",3,"$1,000,000","-","$1,000,000","$1,000,000",1.63,"4,000,000"
"Choi
										
										Ji-Man Choi",28,"1B","Pre-Arb",2,"$850,000","-","$850,000","$850,000",1.38,"850,000"
"Heredia
										
										Guillermo Heredia",28,"CF","Pre-Arb",2,"$782,000","-","$782,000","$782,000",1.27,"782,000"
"Robertson
										
										Daniel Robertson",25,"SS","Pre-Arb",2,"$570,300","-","$570,300","$570,300",0.93,"570,300"
"Glasnow
										
										Tyler Glasnow",25,"SP","Pre-Arb",1,"$566,700","-","$566,700","$566,700",0.92,"566,700"
"Stanek
										
										Ryne Stanek",27,"RP","Pre-Arb",2,"$564,200","-","$564,200","$564,200",0.92,"564,200"
"Adames
										
										Willy Adames",23,"SS","Pre-Arb",2,"$562,400","-","$562,400","$562,400",0.91,"562,400"
"Chirinos
										
										Yonny Chirinos",25,"SP","Pre-Arb",3,"$561,800","-","$561,800","$561,800",0.91,"561,800"
"Castillo
										
										Diego Castillo",25,"RP","Pre-Arb",3,"$561,500","-","$561,500","$561,500",0.91,"561,500"
"Kolarek
										
										Adam Kolarek",30,"RP","Pre-Arb",2,"$560,800","-","$560,800","$560,800",0.91,"560,800"
"Diaz
										
										Yandy Diaz",27,"3B","Pre-Arb",2,"$558,400","-","$558,400","$558,400",0.91,"558,400"
"Perez
										
										Michael Perez",26,"C","Pre-Arb",3,"$556,700","-","$556,700","$556,700",0.91,"556,700"
"Beeks
										
										Jalen Beeks",25,"RP","Pre-Arb",3,"$556,500","-","$556,500","$556,500",0.91,"556,500"
"Alvarado
										
										Jose Alvarado",24,"RP/CL","Pre-Arb",2,"$555,000","-","$555,000","$555,000",0.9,"555,000"
"Sadler
										
										Casey Sadler",28,"RP","Arb 2",1,"$555,000","-","$555,000","$516,232",0.84,"516,232"
"Pagan
										
										Emilio Pagan",28,"RP","Pre-Arb",2,"$555,000","-","$555,000","$492,360",0.8,"492,360"
"Lowe
										
										Nate Lowe",23,"1B","Pre-Arb",NA,"$555,000","-","$555,000","$459,536",0.75,"459,536"
"Velazquez
										
										Andrew Velazquez",24,"SS","Pre-Arb",3,"$555,000","-","$555,000","$450,584",0.73,"450,584"
