"Active.Players..37.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Hamels
										
										Cole Hamels",32,"SP","Vet","$22,500,000","-","-","$22,500,000","$22,500,000",13.8,"24,000,000"
"Choo
										
										Shin-Soo Choo",33,"RF","Vet","$20,000,000","-","-","$20,000,000","$20,000,000",12.27,"18,571,429"
"Beltre
										
										Adrian Beltre",37,"3B","Vet","$18,000,000","-","$100,000","$18,100,000","$18,100,000",11.1,"18,000,000"
"Andrus
										
										Elvis Andrus",27,"SS","Vet","$15,000,000","$250,000","-","$15,250,000","$15,250,000",9.35,"15,000,000"
"Darvish
										
										Yu Darvish",29,"SP","Vet","$10,000,000","-","$800,000","$10,800,000","$10,800,000",6.62,"10,000,000"
"Holland
										
										Derek Holland",29,"SP","Vet","$10,000,000","-","-","$10,000,000","$10,000,000",6.13,"5,700,000"
"Desmond
										
										Ian Desmond",30,"LF","Vet","$8,000,000","-","-","$8,000,000","$8,000,000",4.91,"8,000,000"
"Lewis
										
										Colby Lewis",36,"SP","Vet","$6,000,000","-","-","$6,000,000","$6,000,000",3.68,"6,000,000"
"Moreland
										
										Mitch Moreland",30,"1B","Arb 3","$5,700,000","-","-","$5,700,000","$5,700,000",3.5,"5,700,000"
"Perez
										
										Martin Perez",25,"SP","Arb 1","$2,900,000","$250,000","-","$3,150,000","$3,150,000",1.93,"3,125,000"
"Beltran
										
										Carlos Beltran",39,"DH","Vet","$15,000,000","-","-","$15,000,000","$2,500,000",1.53,"15,000,000"
"Chirinos
										
										Robinson Chirinos",32,"C","Arb 1","$1,550,000","-","-","$1,550,000","$1,550,000",0.95,"1,550,000"
"Barnette
										
										Tony Barnette",32,"RP","Pre-Arb","$1,500,000","-","-","$1,500,000","$1,500,000",0.92,"1,750,000"
"Lucroy
										
										Jonathan Lucroy",30,"C","Arb 3","$4,250,000","$100,000","$25,000","$4,375,000","$1,463,114",0.9,"2,200,000"
"Diekman
										
										Jake Diekman",29,"RP","Arb 1","$1,255,000","-","-","$1,255,000","$1,255,000",0.77,"1,255,000"
"Scheppers
										
										Tanner Scheppers",29,"RP","Arb 1","$900,000","-","-","$900,000","$900,000",0.55,"900,000"
"Dyson
										
										Sam Dyson",28,"RP","Pre-Arb","$525,270","-","-","$525,270","$525,270",0.32,"525,270"
"Odor
										
										Rougned Odor",22,"2B","Pre-Arb","$522,700","-","-","$522,700","$522,700",0.32,"522,700"
"Kela
										
										Keone Kela",23,"RP","Pre-Arb","$518,000","-","-","$518,000","$518,000",0.32,"518,000"
"Griffin
										
										A.J. Griffin",28,"RP","Pre-Arb","$507,500","-","-","$507,500","$493,633",0.3,"507,500"
"Rua
										
										Ryan Rua",26,"LF","Pre-Arb","$510,120","-","-","$510,120","$493,476",0.3,"510,120"
"Mazara
										
										Nomar Mazara",21,"RF","Pre-Arb","$507,500","-","-","$507,500","$488,087",0.3,"507,500"
"Profar
										
										Jurickson Profar",23,"SS","Pre-Arb","$605,000","-","-","$605,000","$426,474",0.26,"605,000"
"Claudio
										
										Alexander Claudio",24,"RP","Pre-Arb","$510,250","-","-","$510,250","$420,988",0.26,"510,250"
"Bush
										
										Matt Bush",30,"RP","Pre-Arb","$507,500","-","-","$507,500","$396,539",0.24,"507,500"
"DeShields
										
										Delino DeShields",23,"CF","Pre-Arb","$517,130","-","-","$517,130","$322,164",0.2,"517,130"
"Martinez
										
										Nick Martinez",25,"SP","Pre-Arb","$519,190","-","-","$519,190","$204,264",0.13,"519,190"
"Hoying
										
										Jared Hoying",27,"RF","Pre-Arb","$507,500","-","-","$507,500","$188,564",0.12,"507,500"
"Jeffress
										
										Jeremy Jeffress",28,"RP","Pre-Arb","$519,100","-","-","$519,100","$178,706",0.11,"519,100"
"Nicholas
										
										Brett Nicholas",27,"C","Pre-Arb","$507,500","-","-","$507,500","$152,515",0.09,"507,500"
"Alvarez
										
										Dario Alvarez",27,"RP","Pre-Arb","$507,500","-","-","$507,500","$130,331",0.08,"507,500"
"Leclerc
										
										Jose Leclerc",22,"RP","Pre-Arb","$507,500","-","-","$507,500","$113,693",0.07,"507,500"
"Gomez
										
										Carlos Gomez",30,"CF","Vet","$507,500","-","-","$507,500","$110,920",0.07,"507,500"
"Gallo
										
										Joey Gallo",22,"3B","Pre-Arb","$509,500","-","-","$509,500","$108,576",0.07,"509,500"
"Faulkner
										
										Andrew Faulkner",23,"RP","Pre-Arb","$508,500","-","-","$508,500","$88,928",0.05,"508,500"
"Alberto
										
										Hanser Alberto",27,"SS","Pre-Arb","$511,500","-","-","$511,500","$86,721",0.05,"511,500"
"Mendez
										
										Yohander Mendez",21,"RP","Pre-Arb","$507,500","-","-","$507,500","$85,963",0.05,"507,500"
