"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Choo
										
										Shin-Soo Choo",36,"DH","Vet",NA,"$21,000,000","-","$21,000,000","$21,000,000",16.31,"18,571,429"
"Andrus
										
										Elvis Andrus",30,"SS","Vet",NA,"$15,000,000","$250,000","$15,250,000","$15,250,000",11.85,"15,000,000"
"Minor
										
										Mike Minor",31,"SP","Vet",NA,"$9,500,000","$333,333","$9,833,333","$9,833,333",7.64,"8,333,333"
"Lynn
										
										Lance Lynn",32,"SP","Vet",NA,"$8,000,000","$1,333,333","$9,333,333","$9,333,333",7.25,"10,000,000"
"Odor
										
										Rougned Odor",25,"2B","Pre-Arb",2,"$7,500,000","$333,333","$7,833,333","$7,833,333",6.09,"8,250,000"
"Smyly
										
										Drew Smyly",30,"SP","Vet",NA,"$7,000,000","-","$7,000,000","$7,000,000",5.44,"5,000,000"
"Chavez
										
										Jesse Chavez",35,"RP","Vet",NA,"$4,000,000","-","$4,000,000","$4,000,000",3.11,"4,000,000"
"Cabrera
										
										Asdrubal Cabrera",33,"2B","Vet",NA,"$3,500,000","-","$3,500,000","$3,500,000",2.72,"3,500,000"
"Mazara
										
										Nomar Mazara",24,"RF","Arb 1",3,"$3,300,000","-","$3,300,000","$3,300,000",2.56,"3,300,000"
"Mathis
										
										Jeff Mathis",36,"C","Vet",NA,"$3,250,000","-","$3,250,000","$3,250,000",2.52,"3,125,000"
"Kelley
										
										Shawn Kelley",35,"RP/CL","Vet",NA,"$2,500,000","-","$2,500,000","$2,500,000",1.94,"2,500,000"
"Martin
										
										Chris Martin",33,"RP","Arb 1",1,"$2,250,000","-","$2,250,000","$2,250,000",1.75,"2,250,000"
"Forsythe
										
										Logan Forsythe",32,"2B","Vet",NA,"$2,000,000","-","$2,000,000","$2,000,000",1.55,"2,000,000"
"Miller
										
										Shelby Miller",28,"SP","Arb 4",2,"$2,000,000","-","$2,000,000","$2,000,000",1.55,"2,000,000"
"Pence
										
										Hunter Pence",36,"RF","Vet",NA,"$2,000,000","-","$2,000,000","$2,000,000",1.55,"2,000,000"
"Leclerc
										
										Jose Leclerc",25,"RP","Pre-Arb",2,"$1,000,000","$500,000","$1,500,000","$1,500,000",1.17,"3,687,500"
"DeShields
										
										Delino DeShields",26,"CF","Arb 1",2,"$1,400,000","-","$1,400,000","$1,400,000",1.09,"1,400,000"
"Gomez
										
										Jeanmar Gomez",31,"RP","Vet",NA,"$1,000,000","-","$1,000,000","$1,000,000",0.78,"1,000,000"
"Gallo
										
										Joey Gallo",25,"LF","Pre-Arb",1,"$605,500","-","$605,500","$605,500",0.47,"605,500"
"Kiner-Falefa
										
										Isiah Kiner-Falefa",24,"3B","Pre-Arb",3,"$569,500","-","$569,500","$569,500",0.44,"569,500"
"Dowdy
										
										Kyle Dowdy",26,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.43,"555,000"
"Sampson
										
										Adrian Sampson",27,"RP","Pre-Arb",3,"$555,000","-","$555,000","$543,065",0.42,"543,065"
"Santana
										
										Daniel Santana",28,"CF","Arb 2",NA,"$555,000","-","$555,000","$507,280",0.39,"507,280"
"Martin
										
										Brett Martin",24,"P","Pre-Arb",3,"$555,000","-","$555,000","$489,376",0.38,"489,376"
"Jurado
										
										Ariel Jurado",23,"SP","Pre-Arb",3,"$555,000","-","$555,000","$468,488",0.36,"468,488"
