"Active.Players..35.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Martin
										
										Russell Martin",34,"C","Vet","$20,000,000","-","-","$20,000,000","$20,000,000",10.69,"16,400,000"
"Bautista
										
										Jose Bautista",36,"RF","Vet","$18,000,000","-","-","$18,000,000","$18,000,000",9.62,"18,500,000"
"Donaldson
										
										Josh Donaldson",31,"3B","Arb 3","$17,000,000","-","-","$17,000,000","$17,000,000",9.09,"14,325,000"
"Estrada
										
										Marco Estrada",33,"SP","Vet","$14,000,000","$500,000","-","$14,500,000","$14,500,000",7.75,"13,000,000"
"Happ
										
										J.A. Happ",34,"SP","Vet","$13,000,000","-","-","$13,000,000","$13,000,000",6.95,"12,000,000"
"Morales
										
										Kendrys Morales",34,"DH","Vet","$10,000,000","-","-","$10,000,000","$10,000,000",5.35,"11,000,000"
"Montero
										
										Miguel Montero",33,"C","Vet","$14,000,000","-","-","$14,000,000","$6,961,773",3.72,"12,000,000"
"Pearce
										
										Steven Pearce",34,"LF","Vet","$6,250,000","-","-","$6,250,000","$6,250,000",3.34,"6,250,000"
"Smoak
										
										Justin Smoak",30,"1B","Vet","$4,125,000","-","-","$4,125,000","$4,125,000",2.21,"4,250,000"
"Stroman
										
										Marcus Stroman",26,"SP","Arb 1","$3,400,000","-","-","$3,400,000","$3,400,000",1.82,"3,400,000"
"Barney
										
										Darwin Barney",31,"SS","Arb 4","$2,887,500","-","-","$2,887,500","$2,887,500",1.54,"2,887,500"
"Koehler
										
										Tom Koehler",31,"RP","Arb 2","$5,750,000","-","-","$5,750,000","$1,351,103",0.72,"5,750,000"
"Carrera
										
										Ezequiel Carrera",30,"CF","Arb 1","$1,162,500","-","-","$1,162,500","$1,162,500",0.62,"1,162,500"
"Loup
										
										Aaron Loup",29,"RP","Arb 2","$1,125,000","-","-","$1,125,000","$1,125,000",0.6,"1,125,000"
"Pillar
										
										Kevin Pillar",28,"CF","Pre-Arb","$555,000","-","-","$555,000","$555,000",0.3,"555,000"
"Osuna
										
										Roberto Osuna",22,"RP/CL","Pre-Arb","$552,400","-","-","$552,400","$552,400",0.3,"552,400"
"Goins
										
										Ryan Goins",29,"2B","Pre-Arb","$548,200","-","-","$548,200","$548,200",0.29,"548,200"
"Tepera
										
										Ryan Tepera",29,"RP/CL","Pre-Arb","$542,700","-","-","$542,700","$542,700",0.29,"542,700"
"Leone
										
										Dominic Leone",25,"RP/CL","Pre-Arb","$548,200","-","-","$548,200","$482,356",0.26,"548,200"
"Barnes
										
										Danny Barnes",27,"RP","Pre-Arb","$535,000","-","-","$535,000","$473,526",0.25,"535,000"
"Biagini
										
										Joseph Biagini",27,"SP","Pre-Arb","$535,000","-","-","$535,000","$464,757",0.25,"535,000"
"Maile
										
										Luke Maile",26,"C","Pre-Arb","$535,000","-","-","$535,000","$458,911",0.25,"535,000"
"Campos
										
										Leonel Campos",29,"RP","Pre-Arb","$535,000","-","-","$535,000","$201,687",0.11,"535,000"
"Dermody
										
										Matt Dermody",26,"RP","Pre-Arb","$535,000","-","-","$535,000","$195,841",0.1,"535,000"
"Refsnyder
										
										Rob Refsnyder",26,"2B","Pre-Arb","$535,000","-","-","$535,000","$189,995",0.1,"535,000"
"Lopez
										
										Raffy Lopez",29,"C","Pre-Arb","$535,000","-","-","$535,000","$172,457",0.09,"535,000"
"Mayza
										
										Tim Mayza",25,"RP","Pre-Arb","$535,000","-","-","$535,000","$134,458",0.07,"535,000"
"Rowley
										
										Chris Rowley",26,"P","Pre-Arb","$535,000","-","-","$535,000","$122,766",0.07,"535,000"
"Anderson
										
										Brett Anderson",29,"SP","Vet","$535,000","-","-","$535,000","$99,382",0.05,"535,000"
"Ramirez
										
										Carlos Ramirez",26,"RP","Pre-Arb","$535,000","-","-","$535,000","$93,536",0.05,"535,000"
"Saunders
										
										Michael Saunders",30,"LF","Vet","$535,000","-","-","$535,000","$93,536",0.05,"535,000"
"Hernandez
										
										Teoscar Hernandez",24,"CF","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.05,"535,000"
"Urena
										
										Richard Urena",21,"SS","Pre-Arb","$535,000","-","-","$535,000","$90,613",0.05,"535,000"
"Santos
										
										Luis Santos",26,"RP","Pre-Arb","$535,000","-","-","$535,000","$87,690",0.05,"535,000"
"Cole
										
										Taylor Cole",27,"RP","Pre-Arb","$535,000","-","-","$535,000","$8,769",0,"535,000"
