"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Smoak
										
										Justin Smoak",32,"1B","Vet",NA,"$8,000,000","-","$8,000,000","$8,000,000",6.96,"8,000,000"
"Grichuk
										
										Randal Grichuk",27,"CF","Arb 2",NA,"$7,000,000","$1,000,000","$8,000,000","$8,000,000",6.96,"10,400,000"
"Stroman
										
										Marcus Stroman",28,"SP","Arb 3",3,"$7,400,000","-","$7,400,000","$7,400,000",6.43,"7,400,000"
"Giles
										
										Ken Giles",28,"RP/CL","Arb 2",3,"$6,300,000","-","$6,300,000","$6,300,000",5.48,"6,300,000"
"Galvis
										
										Freddy Galvis",29,"SS","Vet",NA,"$4,000,000","-","$4,000,000","$4,000,000",3.48,"4,000,000"
"Sanchez
										
										Aaron Sanchez",26,"SP","Arb 2",3,"$3,900,000","-","$3,900,000","$3,900,000",3.39,"3,900,000"
"Buchholz
										
										Clay Buchholz",34,"SP","Vet",NA,"$3,000,000","-","$3,000,000","$3,000,000",2.61,"3,000,000"
"Tepera
										
										Ryan Tepera",31,"RP","Arb 1",1,"$1,525,000","-","$1,525,000","$1,525,000",1.33,"1,525,000"
"Hudson
										
										Daniel Hudson",32,"RP","Vet",NA,"$1,500,000","-","$1,500,000","$1,500,000",1.3,"1,500,000"
"Drury
										
										Brandon Drury",26,"3B","Arb 1",2,"$1,300,000","-","$1,300,000","$1,300,000",1.13,"1,300,000"
"Biagini
										
										Joseph Biagini",29,"RP","Arb 1",2,"$900,000","-","$900,000","$900,000",0.78,"900,000"
"Gaviglio
										
										Sam Gaviglio",29,"RP","Pre-Arb",2,"$579,500","-","$579,500","$579,500",0.5,"579,500"
"Maile
										
										Luke Maile",28,"C","Pre-Arb",1,"$579,000","-","$579,000","$579,000",0.5,"579,000"
"Hernandez
										
										Teoscar Hernandez",26,"LF","Pre-Arb",2,"$578,600","-","$578,600","$578,600",0.5,"578,600"
"Mayza
										
										Tim Mayza",27,"RP","Pre-Arb",3,"$568,300","-","$568,300","$568,300",0.49,"568,300"
"Pannone
										
										Thomas Pannone",25,"RP","Pre-Arb",3,"$560,100","-","$560,100","$560,100",0.49,"560,100"
"McKinney
										
										Billy McKinney",24,"OF","Pre-Arb",3,"$559,400","-","$559,400","$559,400",0.49,"559,400"
"Jansen
										
										Danny Jansen",24,"C","Pre-Arb",3,"$558,700","-","$558,700","$558,700",0.49,"558,700"
"Luciano
										
										Elvis Luciano",19,"RP","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.48,"555,000"
"Tellez
										
										Rowdy Tellez",24,"1B","Pre-Arb",3,"$555,000","-","$555,000","$555,000",0.48,"555,000"
"Thornton
										
										Trent Thornton",25,"SP","Pre-Arb",NA,"$555,000","-","$555,000","$555,000",0.48,"555,000"
"Brito
										
										Socrates Brito",26,"LF","Pre-Arb",NA,"$561,000","-","$561,000","$539,864",0.47,"539,864"
"Sogard
										
										Eric Sogard",33,"2B","Vet",NA,"$555,000","-","$555,000","$501,312",0.44,"501,312"
"Guerrero
										
										Vladimir Guerrero",20,"3B","Pre-Arb",NA,"$555,000","-","$555,000","$468,488",0.41,"468,488"
"Law
										
										Derek Law",28,"RP","Pre-Arb",1,"$555,000","-","$555,000","$447,600",0.39,"447,600"
