"Active.Players..39.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Werth
										
										Jayson Werth",36,"LF","Vet","$21,000,000","$571,428","-","$21,571,428","$21,571,428",13.02,"18,000,000"
"Scherzer
										
										Max Scherzer",30,"SP","Vet","$10,000,000","$7,142,857","$175,000","$17,317,857","$17,317,857",10.45,"30,000,000"
"Zimmermann
										
										Jordan Zimmermann",29,"SP","Arb 3","$16,500,000","-","-","$16,500,000","$16,500,000",9.96,"12,000,000"
"Zimmerman
										
										Ryan Zimmerman",30,"1B","Vet","$14,000,000","-","-","$14,000,000","$14,000,000",8.45,"16,666,667"
"Fister
										
										Doug Fister",31,"SP","Arb 3","$11,400,000","-","-","$11,400,000","$11,400,000",6.88,"11,400,000"
"Gonzalez
										
										Gio Gonzalez",29,"SP","Arb 3","$11,000,000","$100,000","-","$11,100,000","$11,100,000",6.7,"8,400,000"
"Desmond
										
										Ian Desmond",29,"LF","Arb 3","$11,000,000","-","-","$11,000,000","$11,000,000",6.64,"8,750,000"
"Strasburg
										
										Stephen Strasburg",26,"SP","Arb 2","$7,400,000","-","-","$7,400,000","$7,400,000",4.47,"7,400,000"
"Storen
										
										Drew Storen",27,"RP","Arb 3","$5,700,000","-","-","$5,700,000","$5,700,000",3.44,"5,700,000"
"Escobar
										
										Yunel Escobar",32,"3B","Vet","$5,000,000","-","-","$5,000,000","$5,000,000",3.02,"6,500,000"
"Ramos
										
										Wilson Ramos",27,"C","Arb 2","$3,550,000","-","-","$3,550,000","$3,550,000",2.14,"3,550,000"
"Janssen
										
										Casey Janssen",33,"RP","Vet","$3,500,000","-","-","$3,500,000","$3,500,000",2.11,"5,000,000"
"Thornton
										
										Matt Thornton",38,"RP","Vet","$3,500,000","-","-","$3,500,000","$3,500,000",2.11,"3,500,000"
"Harper
										
										Bryce Harper",22,"RF","Arb 1","$2,500,000","-","-","$2,500,000","$2,500,000",1.51,"3,750,000"
"Rendon
										
										Anthony Rendon",25,"3B","Pre-Arb","$2,500,000","-","-","$2,500,000","$2,500,000",1.51,"1,800,000"
"Espinosa
										
										Danny Espinosa",28,"SS","Arb 1","$1,800,000","-","-","$1,800,000","$1,800,000",1.09,"1,800,000"
"Lobaton
										
										Jose Lobaton",30,"C","Arb 2","$1,200,000","-","-","$1,200,000","$1,200,000",0.72,"1,200,000"
"Johnson
										
										Reed Johnson",38,"LF","Vet","$1,000,000","-","-","$1,000,000","$1,000,000",0.6,"1,000,000"
"Robinson
										
										Clint Robinson",30,"1B","Pre-Arb","$525,000","-","-","$525,000","$525,000",0.32,"525,000"
"Moore
										
										Tyler Moore",28,"1B","Pre-Arb","$518,200","-","-","$518,200","$518,200",0.31,"518,200"
"Uggla
										
										Dan Uggla",35,"2B","Vet","$507,500","-","-","$507,500","$507,500",0.31,"507,500"
"Roark
										
										Tanner Roark",28,"SP","Pre-Arb","$500,660","-","-","$500,660","$500,660",0.3,"529,600"
"Taylor
										
										Michael Taylor",24,"CF","Pre-Arb","$508,700","-","-","$508,700","$478,122",0.29,"508,700"
"Treinen
										
										Blake Treinen",27,"RP/CL","Pre-Arb","$512,800","-","-","$512,800","$462,360",0.28,"512,800"
"Vazquez
										
										Felipe Vazquez",23,"RP/CL","Pre-Arb","$507,500","-","-","$507,500","$421,530",0.25,"507,500"
"Papelbon
										
										Jonathan Papelbon",34,"RP","Vet","$13,000,000","-","-","$13,000,000","$401,639",0.24,"12,500,000"
"Ross
										
										Joe Ross",22,"SP","Pre-Arb","$507,500","-","-","$507,500","$257,909",0.16,"507,500"
"den Dekker
										
										Matt den Dekker",27,"CF","Pre-Arb","$512,972","-","-","$512,972","$235,462",0.14,"512,972"
"Grace
										
										Matt Grace",26,"RP","Pre-Arb","$507,500","-","-","$507,500","$202,445",0.12,"507,500"
"Solis
										
										Sammy Solis",26,"RP","Pre-Arb","$507,500","-","-","$507,500","$146,980",0.09,"507,500"
"Difo
										
										Wilmer Difo",23,"SS","Pre-Arb","$507,500","-","-","$507,500","$138,661",0.08,"507,500"
"Martin
										
										Rafael Martin",31,"RP","Pre-Arb","$507,500","-","-","$507,500","$127,568",0.08,"507,500"
"Cole
										
										A.J. Cole",23,"SP","Pre-Arb","$507,500","-","-","$507,500","$124,795",0.08,"507,500"
"Turner
										
										Trea Turner",22,"SS","Pre-Arb","$507,500","-","-","$507,500","$122,021",0.07,"507,500"
"Jordan
										
										Taylor Jordan",26,"SP","Pre-Arb","$507,500","-","-","$507,500","$108,155",0.07,"507,500"
"Severino
										
										Pedro Severino",21,"C","Pre-Arb","$507,500","-","-","$507,500","$91,516",0.06,"507,500"
"Davis
										
										Erik Davis",28,"RP","Pre-Arb","$508,900","-","-","$508,900","$58,398",0.04,"508,900"
"Hill
										
										Taylor Hill",26,"SP","Pre-Arb","$507,500","-","-","$507,500","$30,505",0.02,"507,500"
"De Los Santos
										
										 Abel De Los Santos",22,"RP","Pre-Arb","$507,500","-","-","$507,500","$11,092",0.01,"507,500"
