"Active.Players..25.","Age","Pos.","Status","Waiver.Options","Base.Salary","Signing.Bonus","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Scherzer
										
										Max Scherzer",34,"SP","Vet",NA,"$30,262,705","$7,142,857","$37,405,562","$37,405,562",22.72,"28,689,376"
"Corbin
										
										Patrick Corbin",30,"SP","Vet",NA,"$12,500,000","$416,666","$12,916,666","$12,916,666",7.85,"23,333,333"
"Dozier
										
										Brian Dozier",32,"2B","Vet",NA,"$9,000,000","-","$9,000,000","$9,000,000",5.47,"9,000,000"
"Eaton
										
										Adam Eaton",30,"RF","Vet",NA,"$8,400,000","-","$8,400,000","$8,400,000",5.1,"4,700,000"
"Gomes
										
										Yan Gomes",31,"C","Vet",NA,"$7,000,000","$83,333","$7,083,333","$7,083,333",4.3,"3,833,333"
"Sanchez
										
										Anibal Sanchez",35,"SP","Vet",NA,"$8,000,000","-","$8,000,000","$6,000,000",3.64,"9,500,000"
"Doolittle
										
										Sean Doolittle",32,"RP/CL","Vet",NA,"$6,000,000","-","$6,000,000","$6,000,000",3.64,"6,000,000"
"Strasburg
										
										Stephen Strasburg",30,"SP","Vet",NA,"$35,000,000","$3,333,334","$38,333,334","$5,000,000",3.04,"25,000,000"
"Kendrick
										
										Howie Kendrick",35,"LF","Vet",NA,"$4,000,000","-","$4,000,000","$4,000,000",2.43,"3,500,000"
"Suzuki
										
										Kurt Suzuki",35,"C","Vet",NA,"$4,000,000","-","$4,000,000","$4,000,000",2.43,"5,000,000"
"Taylor
										
										Michael Taylor",28,"CF","Arb 2",1,"$3,250,000","-","$3,250,000","$3,250,000",1.97,"3,250,000"
"Barraclough
										
										Kyle Barraclough",29,"RP","Arb 1",3,"$1,725,000","-","$1,725,000","$1,725,000",1.05,"1,725,000"
"Hellickson
										
										Jeremy Hellickson",32,"RP","Vet",NA,"$1,300,000","-","$1,300,000","$1,300,000",0.79,"1,300,000"
"Ross
										
										Joe Ross",26,"SP","Arb 1",1,"$1,000,000","-","$1,000,000","$1,000,000",0.61,"1,000,000"
"Sipp
										
										Tony Sipp",35,"RP","Vet",NA,"$1,000,000","-","$1,000,000","$1,000,000",0.61,"1,250,000"
"Miller
										
										Justin Miller",31,"RP","Pre-Arb",NA,"$593,200","-","$593,200","$593,200",0.36,"593,200"
"Difo
										
										Wilmer Difo",27,"SS","Pre-Arb",1,"$581,100","-","$581,100","$581,100",0.35,"581,100"
"Grace
										
										Matt Grace",30,"RP","Pre-Arb",NA,"$576,400","-","$576,400","$576,400",0.35,"576,400"
"Suero
										
										Wander Suero",27,"RP","Pre-Arb",3,"$562,500","-","$562,500","$562,500",0.34,"562,500"
"Robles
										
										Victor Robles",22,"OF","Pre-Arb",3,"$557,800","-","$557,800","$557,800",0.34,"557,800"
"Stevenson
										
										Andrew Stevenson",25,"OF","Pre-Arb",3,"$559,100","-","$559,100","$480,960",0.29,"480,960"
"Noll
										
										Jake Noll",25,"2B","Pre-Arb",NA,"$555,000","-","$555,000","$471,472",0.29,"471,472"
"Sanchez
										
										Adrian Sanchez",29,"2B","Pre-Arb",2,"$555,000","-","$555,000","$471,472",0.29,"471,472"
"Kieboom
										
										Carter Kieboom",21,"SS","Pre-Arb",NA,"$555,000","-","$555,000","$468,488",0.28,"468,488"
"Jennings
										
										Dan Jennings",32,"RP","Arb 4",NA,"$555,000","-","$555,000","$456,552",0.28,"456,552"
