Team,Roster,X25.Man.Payroll,Injured.Reserve,Retained,Buried,Suspended,X2011.Total.Payroll,Rank
New York Yankees,41,212609678,0,950000,0,0,213559678,1
Boston Red Sox,47,164517590,0,8239278,0,0,172553261,2
Philadelphia Phillies,38,169799882,0,168300,0,0,169968182,3
Los Angeles Angels,38,133613959,0,13034600,0,0,146648559,4
New York Mets,38,96163418,0,45668423,0,0,141831841,5
Chicago Cubs,40,124652698,0,14825000,0,0,139477698,6
Chicago White Sox,40,123584951,0,7038798,0,0,130623749,7
San Francisco Giants,39,124882250,0,1100000,0,0,125982250,8
Los Angeles Dodgers,41,98679615,0,19989000,0,0,118668615,9
St. Louis Cardinals,39,113348748,0,2808564,7.00E+05,0,116857312,10
Minnesota Twins,29,106871000,0,7108594,0,0,113979594,11
Detroit Tigers,36,111271015,0,250000,0,0,111521015,12
Texas Rangers,39,99272920,0,4468801,0,0,103741721,13
Seattle Mariners,42,88907834,0,12521314,0,0,101429148,14
Atlanta Braves,43,98521630,0,1308600,0,0,99830230,15
Baltimore Orioles,49,94391741,0,0,0,0,94391741,16
Milwaukee Brewers,45,92127802,0,0,0,0,92127802,17
Houston Astros,42,72098000,0,13476503,0,0,85574503,18
Colorado Rockies,32,77731972,0,5530198,0,0,83262170,19
Cincinnati Reds,38,79612874,0,2307672,0,0,81920546,20
Oakland Athletics,45,69967475,0,6515573,0,0,76483048,21
Washington Nationals,44,72988723,0,0,2.00E+06,0,74988723,22
Toronto Blue Jays,38,56304461,0,17187143,0,0,73491604,23
Arizona Diamondbacks,38,57930520,0,6954451,9.00E+05,0,65784971,24
Florida Marlins,41,63287393,0,2.00E+06,0,0,65287393,25
Cleveland Indians,45,55960593,0,0,0,0,55960593,26
Pittsburgh Pirates,45,46784667,0,1808060,0,0,48592727,27
San Diego Padres,37,47418810,0,6.00E+05,0,0,48018810,28
Tampa Bay Rays,38,45728532,0,370000,0,0,46098532,29
Kansas City Royals,34,38803600,0,509673,1380000,0,40693273,30
