"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2014.Total.Payroll","Rank"
"Los Angeles Dodgers",35,234067142,1500000,7100000,3700000,0,246367142,1
"New York Yankees",37,198020464,0,16763048,1022125,0,214898031,2
"Philadelphia Phillies",30,145123014,2.5e+07,4263731,3500000,0,175061605,3
"Detroit Tigers",35,147009969,17310000,7255247,1504000,0,171996220,4
"San Francisco Giants",42,152735333,0,18501449,750000,0,171336782,5
"Boston Red Sox",38,95417971,0,61397733,5e+05,0,170095758,6
"Los Angeles Angels of Anaheim",41,132451972,0,32051279,9e+05,0,165403251,7
"Washington Nationals",38,149257210,77160,136612,0,0,149470982,8
"Toronto Blue Jays",37,122125961,3e+06,5186211,11500000,0,141812172,9
"Texas Rangers",47,129809240,1002163,8819180,0,0,139630583,10
"St. Louis Cardinals",38,114533043,0,5699886,1e+06,0,121232929,11
"Atlanta Braves",39,102713304,0,14100492,1e+06,0,116865707,12
"Baltimore Orioles",36,105470318,3e+06,2282926,3225000,0,113562943,13
"Cincinnati Reds",35,99229931,6e+06,6890711,2714285,0,113351318,14
"Milwaukee Brewers",36,108174589,0,2320491,1e+06,0,110577046,15
"Seattle Mariners",39,98030060,2800000,3504114,1700000,0,107034174,16
"Arizona Diamondbacks",40,68514917,9500000,28134272,2500000,0,106482519,17
"Kansas City Royals",36,90536848,0,4686452,3335000,0,98558300,18
"Colorado Rockies",39,96456583,0,202995,0,0,96659578,19
"New York Mets",33,73675535,345811,19290982,3025000,0,94478037,20
"Oakland Athletics",35,65760582,733879,22605236,5375000,0,93518412,21
"Chicago Cubs",38,53604470,0,34683034,2203500,0,89539741,22
"Chicago White Sox",31,60305897,0,28411749,1512400,0,89221236,23
"Minnesota Twins",34,72140448,0,15337637,5e+05,0,87494478,24
"San Diego Padres",39,67296350,501400,16594743,2002000,0,85001967,25
"Cleveland Indians",33,59720646,1e+06,23415930,1430000,0,84369908,26
"Pittsburgh Pirates",31,68883439,505500,7320970,1950000,0,76974115,27
"Tampa Bay Rays",40,63704707,0,13116339,0,0,76821046,28
"Houston Astros",38,41637464,3594262,6051590,1500000,0,51679490,29
"Miami Marlins",34,39231780,3500000,7939616,0,0,50671396,30
