"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2011.Total.Payroll","Rank"
"New York Yankees","41","$212,609,678","0-","$950,000","0-","0-","$213,559,678",1
"Boston Red Sox","47","$164,517,590","0-","$8,239,278","0-","0-","$172,553,261",2
"Philadelphia Phillies","38","$169,799,882","0-","$168,300","0-","0-","$169,968,182",3
"Los Angeles Angels of Anaheim","38","$133,613,959","0-","$13,034,600","0-","0-","$146,648,559",4
"New York Mets","38","$96,163,418","0-","$45,668,423","0-","0-","$141,831,841",5
"Chicago Cubs","40","$124,652,698","0-","$14,825,000","0-","0-","$139,477,698",6
"Chicago White Sox","40","$123,584,951","0-","$7,038,798","0-","0-","$130,623,749",7
"San Francisco Giants","39","$124,882,250","0-","$1,100,000","0-","0-","$125,982,250",8
"Los Angeles Dodgers","41","$98,679,615","0-","$19,989,000","0-","0-","$118,668,615",9
"St. Louis Cardinals","39","$113,348,748","0-","$2,808,564","$700,000","0-","$116,857,312",10
"Minnesota Twins","29","$106,871,000","0-","$7,108,594","0-","0-","$113,979,594",11
"Detroit Tigers","36","$111,271,015","0-","$250,000","0-","0-","$111,521,015",12
"Texas Rangers","39","$99,272,920","0-","$4,468,801","0-","0-","$103,741,721",13
"Seattle Mariners","42","$88,907,834","0-","$12,521,314","0-","0-","$101,429,148",14
"Atlanta Braves","43","$98,521,630","0-","$1,308,600","0-","0-","$99,830,230",15
"Baltimore Orioles","49","$94,391,741","0-","0-","0-","0-","$94,391,741",16
"Milwaukee Brewers","45","$92,127,802","0-","0-","0-","0-","$92,127,802",17
"Houston Astros","42","$72,098,000","0-","$13,476,503","0-","0-","$85,574,503",18
"Colorado Rockies","32","$77,731,972","0-","$5,530,198","0-","0-","$83,262,170",19
"Cincinnati Reds","38","$79,612,874","0-","$2,307,672","0-","0-","$81,920,546",20
"Oakland Athletics","45","$69,967,475","0-","$6,515,573","0-","0-","$76,483,048",21
"Washington Nationals","44","$72,988,723","0-","0-","$2,000,000","0-","$74,988,723",22
"Toronto Blue Jays","38","$56,304,461","0-","$17,187,143","0-","0-","$73,491,604",23
"Arizona Diamondbacks","38","$57,930,520","0-","$6,954,451","$900,000","0-","$65,784,971",24
"Florida Marlins","41","$63,287,393","0-","$2,000,000","0-","0-","$65,287,393",25
"Cleveland Indians","45","$55,960,593","0-","0-","0-","0-","$55,960,593",26
"Pittsburgh Pirates","45","$46,784,667","0-","$1,808,060","0-","0-","$48,592,727",27
"San Diego Padres","37","$47,418,810","0-","$600,000","0-","0-","$48,018,810",28
"Tampa Bay Rays","38","$45,728,532","0-","$370,000","0-","0-","$46,098,532",29
"Kansas City Royals","34","$38,803,600","0-","$509,673","$1,380,000","0-","$40,693,273",30
